Year,Units,Altersklasse,Geschlecht,Value
2013,Anzahl,60 Jahre und älter,,212.0
2014,Anzahl,60 Jahre und älter,,213.0
2015,Anzahl,60 Jahre und älter,,245.0
2016,Anzahl,60 Jahre und älter,,290.0
2017,Anzahl,60 Jahre und älter,,312.0
2018,Anzahl,60 Jahre und älter,,233.0
2019,Anzahl,60 Jahre und älter,,201.0
2020,Anzahl,60 Jahre und älter,,292.0
2010,Anzahl,,Weiblich,393.0
2011,Anzahl,,Weiblich,338.0
2012,Anzahl,,Weiblich,296.0
2013,Anzahl,,Weiblich,328.0
2014,Anzahl,,Weiblich,339.0
2015,Anzahl,,Weiblich,327.0
2016,Anzahl,,Weiblich,469.0
2017,Anzahl,,Weiblich,380.0
2018,Anzahl,,Weiblich,367.0
2019,Anzahl,,Weiblich,276.0
2020,Anzahl,,Weiblich,357.0
2010,Anzahl,,Männlich,400.0
2011,Anzahl,,Männlich,400.0
2012,Anzahl,,Männlich,363.0
2013,Anzahl,,Männlich,354.0
2014,Anzahl,,Männlich,377.0
2015,Anzahl,,Männlich,355.0
2016,Anzahl,,Männlich,494.0
2017,Anzahl,,Männlich,433.0
2018,Anzahl,,Männlich,421.0
2019,Anzahl,,Männlich,347.0
2020,Anzahl,,Männlich,425.0
2010,Anzahl,13 Jahre und jünger,Weiblich,
2011,Anzahl,13 Jahre und jünger,Weiblich,
2012,Anzahl,13 Jahre und jünger,Weiblich,39.0
2013,Anzahl,13 Jahre und jünger,Weiblich,37.0
2014,Anzahl,13 Jahre und jünger,Weiblich,24.0
2015,Anzahl,13 Jahre und jünger,Weiblich,25.0
2016,Anzahl,13 Jahre und jünger,Weiblich,30.0
2017,Anzahl,13 Jahre und jünger,Weiblich,28.0
2018,Anzahl,13 Jahre und jünger,Weiblich,30.0
2019,Anzahl,13 Jahre und jünger,Weiblich,17.0
2020,Anzahl,13 Jahre und jünger,Weiblich,43.0
2010,Anzahl,13 Jahre und jünger,Männlich,
2011,Anzahl,13 Jahre und jünger,Männlich,
2012,Anzahl,13 Jahre und jünger,Männlich,51.0
2013,Anzahl,13 Jahre und jünger,Männlich,29.0
2014,Anzahl,13 Jahre und jünger,Männlich,39.0
2015,Anzahl,13 Jahre und jünger,Männlich,37.0
2016,Anzahl,13 Jahre und jünger,Männlich,38.0
2017,Anzahl,13 Jahre und jünger,Männlich,39.0
2018,Anzahl,13 Jahre und jünger,Männlich,40.0
2019,Anzahl,13 Jahre und jünger,Männlich,29.0
2020,Anzahl,13 Jahre und jünger,Männlich,36.0
2010,Anzahl,14 bis unter 18 Jahre,Weiblich,
2011,Anzahl,14 bis unter 18 Jahre,Weiblich,
2012,Anzahl,14 bis unter 18 Jahre,Weiblich,0.0
2013,Anzahl,14 bis unter 18 Jahre,Weiblich,4.0
2014,Anzahl,14 bis unter 18 Jahre,Weiblich,5.0
2015,Anzahl,14 bis unter 18 Jahre,Weiblich,9.0
2016,Anzahl,14 bis unter 18 Jahre,Weiblich,22.0
2017,Anzahl,14 bis unter 18 Jahre,Weiblich,1.0
2018,Anzahl,14 bis unter 18 Jahre,Weiblich,8.0
2019,Anzahl,14 bis unter 18 Jahre,Weiblich,4.0
2020,Anzahl,14 bis unter 18 Jahre,Weiblich,4.0
2010,Anzahl,14 bis unter 18 Jahre,Männlich,
2011,Anzahl,14 bis unter 18 Jahre,Männlich,
2012,Anzahl,14 bis unter 18 Jahre,Männlich,6.0
2013,Anzahl,14 bis unter 18 Jahre,Männlich,8.0
2014,Anzahl,14 bis unter 18 Jahre,Männlich,10.0
2015,Anzahl,14 bis unter 18 Jahre,Männlich,5.0
2016,Anzahl,14 bis unter 18 Jahre,Männlich,13.0
2017,Anzahl,14 bis unter 18 Jahre,Männlich,3.0
2018,Anzahl,14 bis unter 18 Jahre,Männlich,6.0
2019,Anzahl,14 bis unter 18 Jahre,Männlich,7.0
2020,Anzahl,14 bis unter 18 Jahre,Männlich,8.0
2010,Anzahl,18 bis unter 21 Jahre,Weiblich,
2011,Anzahl,18 bis unter 21 Jahre,Weiblich,
2012,Anzahl,18 bis unter 21 Jahre,Weiblich,10.0
2013,Anzahl,18 bis unter 21 Jahre,Weiblich,6.0
2014,Anzahl,18 bis unter 21 Jahre,Weiblich,9.0
2015,Anzahl,18 bis unter 21 Jahre,Weiblich,9.0
2016,Anzahl,18 bis unter 21 Jahre,Weiblich,18.0
2017,Anzahl,18 bis unter 21 Jahre,Weiblich,7.0
2018,Anzahl,18 bis unter 21 Jahre,Weiblich,12.0
2019,Anzahl,18 bis unter 21 Jahre,Weiblich,5.0
2020,Anzahl,18 bis unter 21 Jahre,Weiblich,6.0
2010,Anzahl,18 bis unter 21 Jahre,Männlich,
2011,Anzahl,18 bis unter 21 Jahre,Männlich,
2012,Anzahl,18 bis unter 21 Jahre,Männlich,13.0
2013,Anzahl,18 bis unter 21 Jahre,Männlich,9.0
2014,Anzahl,18 bis unter 21 Jahre,Männlich,11.0
2015,Anzahl,18 bis unter 21 Jahre,Männlich,9.0
2016,Anzahl,18 bis unter 21 Jahre,Männlich,25.0
2017,Anzahl,18 bis unter 21 Jahre,Männlich,9.0
2018,Anzahl,18 bis unter 21 Jahre,Männlich,14.0
2019,Anzahl,18 bis unter 21 Jahre,Männlich,11.0
2020,Anzahl,18 bis unter 21 Jahre,Männlich,15.0
2010,Anzahl,21 bis unter 60 Jahre,Weiblich,
2011,Anzahl,21 bis unter 60 Jahre,Weiblich,
2012,Anzahl,21 bis unter 60 Jahre,Weiblich,139.0
2013,Anzahl,21 bis unter 60 Jahre,Weiblich,159.0
2014,Anzahl,21 bis unter 60 Jahre,Weiblich,180.0
2015,Anzahl,21 bis unter 60 Jahre,Weiblich,141.0
2016,Anzahl,21 bis unter 60 Jahre,Weiblich,236.0
2017,Anzahl,21 bis unter 60 Jahre,Weiblich,176.0
2018,Anzahl,21 bis unter 60 Jahre,Weiblich,184.0
2019,Anzahl,21 bis unter 60 Jahre,Weiblich,144.0
2020,Anzahl,21 bis unter 60 Jahre,Weiblich,142.0
2010,Anzahl,21 bis unter 60 Jahre,Männlich,
2011,Anzahl,21 bis unter 60 Jahre,Männlich,
2012,Anzahl,21 bis unter 60 Jahre,Männlich,220.0
2013,Anzahl,21 bis unter 60 Jahre,Männlich,218.0
2014,Anzahl,21 bis unter 60 Jahre,Männlich,225.0
2015,Anzahl,21 bis unter 60 Jahre,Männlich,202.0
2016,Anzahl,21 bis unter 60 Jahre,Männlich,291.0
2017,Anzahl,21 bis unter 60 Jahre,Männlich,238.0
2018,Anzahl,21 bis unter 60 Jahre,Männlich,261.0
2019,Anzahl,21 bis unter 60 Jahre,Männlich,205.0
2020,Anzahl,21 bis unter 60 Jahre,Männlich,236.0
2010,Anzahl,60 Jahre und älter,Weiblich,
2011,Anzahl,60 Jahre und älter,Weiblich,
2012,Anzahl,60 Jahre und älter,Weiblich,108.0
2013,Anzahl,60 Jahre und älter,Weiblich,122.0
2014,Anzahl,60 Jahre und älter,Weiblich,121.0
2015,Anzahl,60 Jahre und älter,Weiblich,143.0
2016,Anzahl,60 Jahre und älter,Weiblich,163.0
2017,Anzahl,60 Jahre und älter,Weiblich,168.0
2018,Anzahl,60 Jahre und älter,Weiblich,133.0
2019,Anzahl,60 Jahre und älter,Weiblich,106.0
2020,Anzahl,60 Jahre und älter,Weiblich,162.0
2010,Anzahl,60 Jahre und älter,Männlich,
2011,Anzahl,60 Jahre und älter,Männlich,
2012,Anzahl,60 Jahre und älter,Männlich,73.0
2013,Anzahl,60 Jahre und älter,Männlich,90.0
2014,Anzahl,60 Jahre und älter,Männlich,92.0
2015,Anzahl,60 Jahre und älter,Männlich,102.0
2016,Anzahl,60 Jahre und älter,Männlich,127.0
2017,Anzahl,60 Jahre und älter,Männlich,144.0
2018,Anzahl,60 Jahre und älter,Männlich,100.0
2019,Anzahl,60 Jahre und älter,Männlich,95.0
2020,Anzahl,60 Jahre und älter,Männlich,130.0
