Year,Zeitreihe,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,20.5
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,p,,,20.0
2010,Armutsgefährdungsquote,,,,,15.6
2011,Armutsgefährdungsquote,,,,,15.8
2012,Armutsgefährdungsquote,,,,,16.1
2013,Armutsgefährdungsquote,,,,,16.1
2014,Armutsgefährdungsquote,,,,,16.7
2015,Armutsgefährdungsquote,,,,,16.7
2016,Armutsgefährdungsquote,,,,,16.5
2017,Armutsgefährdungsquote,,,,,16.1
2018,Armutsgefährdungsquote,,,,,16.0
2019,Armutsgefährdungsquote,,,,,14.8
2020,Armutsgefährdungsquote,,|,,,16.1
2021,Armutsgefährdungsquote,,,,,16.0
2022,Armutsgefährdungsquote,,,,,14.8
2023,Armutsgefährdungsquote,,,,,14.4
2024,Armutsgefährdungsquote,,p,,,15.5
2010,Armutsgefährdungsquote,Weiblich,,,,16.4
2011,Armutsgefährdungsquote,Weiblich,,,,16.8
2012,Armutsgefährdungsquote,Weiblich,,,,17.2
2013,Armutsgefährdungsquote,Weiblich,,,,17.2
2014,Armutsgefährdungsquote,Weiblich,,,,17.4
2015,Armutsgefährdungsquote,Weiblich,,,,17.4
2016,Armutsgefährdungsquote,Weiblich,,,,17.8
2017,Armutsgefährdungsquote,Weiblich,,,,17.1
2018,Armutsgefährdungsquote,Weiblich,,,,16.8
2019,Armutsgefährdungsquote,Weiblich,,,,15.7
2020,Armutsgefährdungsquote,Weiblich,|,,,16.8
2021,Armutsgefährdungsquote,Weiblich,,,,16.6
2022,Armutsgefährdungsquote,Weiblich,,,,15.5
2023,Armutsgefährdungsquote,Weiblich,,,,15.1
2024,Armutsgefährdungsquote,Weiblich,p,,,16.2
2010,Armutsgefährdungsquote,Männlich,,,,14.9
2011,Armutsgefährdungsquote,Männlich,,,,14.9
2012,Armutsgefährdungsquote,Männlich,,,,14.9
2013,Armutsgefährdungsquote,Männlich,,,,15.0
2014,Armutsgefährdungsquote,Männlich,,,,15.9
2015,Armutsgefährdungsquote,Männlich,,,,15.9
2016,Armutsgefährdungsquote,Männlich,,,,15.2
2017,Armutsgefährdungsquote,Männlich,,,,15.0
2018,Armutsgefährdungsquote,Männlich,,,,15.2
2019,Armutsgefährdungsquote,Männlich,,,,13.9
2020,Armutsgefährdungsquote,Männlich,|,,,15.3
2021,Armutsgefährdungsquote,Männlich,,,,15.4
2022,Armutsgefährdungsquote,Männlich,,,,14.0
2023,Armutsgefährdungsquote,Männlich,,,,13.7
2024,Armutsgefährdungsquote,Männlich,p,,,14.8
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,9.5
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,9.4
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,8.7
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,8.0
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,7.6
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,|,,,8.3
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,9.5
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,9.8
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,9.9
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,p,,,9.8
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,.,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,.,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,.,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,.,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,.,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,,,,9.7
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,,,,10.0
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,,,,8.9
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,,,,8.4
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,,,,8.0
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,|,,,8.5
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,,,,9.8
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,,,,10.0
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,,,,10.0
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Weiblich,p,,,9.9
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,.,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,.,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,.,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,.,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,.,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,,,,9.2
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,,,,8.9
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,,,,8.4
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,,,,7.6
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,,,,7.1
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,|,,,8.1
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,,,,9.2
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,,,,9.6
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,,,,9.9
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,Männlich,p,,,9.6
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,5.7
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,4.7
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,3.7
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,3.4
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,3.0
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,|,,,4.4
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,4.3
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,6.2
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,6.9
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,p,,,6.0
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,,,,6.3
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,,,,5.1
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,,,,4.0
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,,,,3.6
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,,,,3.3
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,|,,,4.4
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,,,,4.3
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,,,,6.1
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,,,,6.8
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Weiblich,p,,,5.9
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,,,,5.0
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,,,,4.3
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,,,,3.5
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,,,,3.2
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,,,,2.6
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,|,,,4.3
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,,,,4.4
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,,,,6.3
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,r,,,7.0
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,Männlich,p,,,6.1
