Year,Units,Geschlecht,Altersklasse,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2021,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2022,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2023,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2024,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2010,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.75
2011,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.78
2012,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.75
2013,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,|,,,0.67
2014,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.69
2015,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.51
2016,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.59
2017,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.59
2018,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.52
2019,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.51
2020,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.49
2021,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.5
2022,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.57
2023,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,0.51
2024,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,|,,,0.56
2010,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.13
2011,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.13
2012,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.12
2013,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,|,,,0.11
2014,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.05
2015,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.06
2016,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.12
2017,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.16
2018,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.04
2019,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.05
2020,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.12
2021,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.01
2022,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.06
2023,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.01
2024,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,|,,,0.04
2010,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.44
2011,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.4
2012,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.74
2013,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,|,,,1.91
2014,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.62
2015,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.21
2016,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.62
2017,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.45
2018,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.06
2019,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.83
2020,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.18
2021,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.77
2022,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.63
2023,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.09
2024,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,|,,,1.42
2010,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,8.97
2011,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,9.82
2012,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,8.59
2013,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,|,,,8.47
2014,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,8.6
2015,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,5.97
2016,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,4.52
2017,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,5.93
2018,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,4.94
2019,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,2.94
2020,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,3.48
2021,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,3.13
2022,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,4.0
2023,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,2.78
2024,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,|,,,3.22
2010,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,3.21
2011,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,3.37
2012,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,3.03
2013,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,|,,,2.77
2014,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,3.01
2015,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,1.81
2016,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.93
2017,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.99
2018,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.52
2019,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.13
2020,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.09
2021,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.24
2022,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.47
2023,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,2.11
2024,Je 100 000 Einwohner/-innen,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,|,,,1.81
2010,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.21
2011,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.22
2012,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.25
2013,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,|,,,0.23
2014,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.27
2015,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.16
2016,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.23
2017,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.24
2018,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.2
2019,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.32
2020,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.23
2021,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.29
2022,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.35
2023,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,,,,0.31
2024,Je 100 000 Einwohner/-innen,,25 Jahre und älter,Sexuelle Ausbeutung,|,,,0.4
2010,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2011,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2012,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2013,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2014,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2015,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2016,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2017,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2018,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2019,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2020,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2021,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2022,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2023,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2024,Je 100 000 Einwohner/-innen,,Alter unbekannt,Sexuelle Ausbeutung,.,,,
2010,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.41
2011,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.44
2012,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.42
2013,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,|,,,1.26
2014,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.29
2015,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.96
2016,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.12
2017,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.16
2018,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.98
2019,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.96
2020,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.9
2021,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.92
2022,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,1.07
2023,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,,,,0.95
2024,Je 100 000 Einwohner/-innen,Weiblich,,Sexuelle Ausbeutung,|,,,1.06
2010,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.04
2011,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.08
2012,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.05
2013,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,|,,,0.06
2014,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.07
2015,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.03
2016,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.04
2017,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.01
2018,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.03
2019,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.05
2020,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.06
2021,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.06
2022,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.04
2023,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,,,,0.03
2024,Je 100 000 Einwohner/-innen,Männlich,,Sexuelle Ausbeutung,|,,,0.03
2010,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2011,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2012,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2013,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2014,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2015,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2016,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2017,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2018,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2019,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2020,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2021,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2022,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2023,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2024,Je 100 000 Einwohner/-innen,Unbekannt,,Sexuelle Ausbeutung,.,,,
2010,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.43
2011,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.5
2012,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.43
2013,Je 100 000 Einwohner/-innen,Weiblich,,,|,,,1.29
2014,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.3
2015,Je 100 000 Einwohner/-innen,Weiblich,,,,,,0.98
2016,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.15
2017,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.22
2018,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.0
2019,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.01
2020,Je 100 000 Einwohner/-innen,Weiblich,,,,,,0.95
2021,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.09
2022,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.7
2023,Je 100 000 Einwohner/-innen,Weiblich,,,,,,1.07
2024,Je 100 000 Einwohner/-innen,Weiblich,,,|,,,1.12
2010,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.12
2011,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.1
2012,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.06
2013,Je 100 000 Einwohner/-innen,Männlich,,,|,,,0.18
2014,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.12
2015,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.14
2016,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.13
2017,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.39
2018,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.17
2019,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.11
2020,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.19
2021,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.24
2022,Je 100 000 Einwohner/-innen,Männlich,,,,,,1.86
2023,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.34
2024,Je 100 000 Einwohner/-innen,Männlich,,,|,,,0.38
2010,Anzahl,,,,,,,651.0
2011,Anzahl,,,,,,,671.0
2012,Anzahl,,,,,,,626.0
2013,Anzahl,,,,,,,603.0
2014,Anzahl,,,,,,,583.0
2015,Anzahl,,,,,,,470.0
2016,Anzahl,,,,,,,536.0
2017,Anzahl,,,,,,,669.0
2018,Anzahl,,,,,,,493.0
2019,Anzahl,,,,,,,470.0
2020,Anzahl,,,,,,,479.0
2021,Anzahl,,,,,,,564.0
2022,Anzahl,,,,,,,1495.0
2023,Anzahl,,,,r,,,611.0
2024,Anzahl,,,,,,,636.0
2010,Anzahl,,,Arbeitsausbeutung,,,,41.0
2011,Anzahl,,,Arbeitsausbeutung,,,,32.0
2012,Anzahl,,,Arbeitsausbeutung,,,,14.0
2013,Anzahl,,,Arbeitsausbeutung,,,,61.0
2014,Anzahl,,,Arbeitsausbeutung,,,,26.0
2015,Anzahl,,,Arbeitsausbeutung,,,,54.0
2016,Anzahl,,,Arbeitsausbeutung,,,,48.0
2017,Anzahl,,,Arbeitsausbeutung,,,,180.0
2018,Anzahl,,,Arbeitsausbeutung,,,,63.0
2019,Anzahl,,,Arbeitsausbeutung,,,,43.0
2020,Anzahl,,,Arbeitsausbeutung,,,,73.0
2021,Anzahl,,,Arbeitsausbeutung,,,,147.0
2022,Anzahl,,,Arbeitsausbeutung,,,,1019.0
2023,Anzahl,,,Arbeitsausbeutung,,,,183.0
2024,Anzahl,,,Arbeitsausbeutung,,,,171.0
2010,Anzahl,Weiblich,,Arbeitsausbeutung,,,,10.0
2011,Anzahl,Weiblich,,Arbeitsausbeutung,,,,24.0
2012,Anzahl,Weiblich,,Arbeitsausbeutung,,,,7.0
2013,Anzahl,Weiblich,,Arbeitsausbeutung,,,,13.0
2014,Anzahl,Weiblich,,Arbeitsausbeutung,,,,4.0
2015,Anzahl,Weiblich,,Arbeitsausbeutung,,,,8.0
2016,Anzahl,Weiblich,,Arbeitsausbeutung,,,,13.0
2017,Anzahl,Weiblich,,Arbeitsausbeutung,,,,25.0
2018,Anzahl,Weiblich,,Arbeitsausbeutung,,,,8.0
2019,Anzahl,Weiblich,,Arbeitsausbeutung,,,,19.0
2020,Anzahl,Weiblich,,Arbeitsausbeutung,,,,18.0
2021,Anzahl,Weiblich,,Arbeitsausbeutung,,,,72.0
2022,Anzahl,Weiblich,,Arbeitsausbeutung,,,,266.0
2023,Anzahl,Weiblich,,Arbeitsausbeutung,,,,53.0
2024,Anzahl,Weiblich,,Arbeitsausbeutung,,,,25.0
2010,Anzahl,Männlich,,Arbeitsausbeutung,,,,31.0
2011,Anzahl,Männlich,,Arbeitsausbeutung,,,,8.0
2012,Anzahl,Männlich,,Arbeitsausbeutung,,,,5.0
2013,Anzahl,Männlich,,Arbeitsausbeutung,,,,47.0
2014,Anzahl,Männlich,,Arbeitsausbeutung,,,,22.0
2015,Anzahl,Männlich,,Arbeitsausbeutung,,,,44.0
2016,Anzahl,Männlich,,Arbeitsausbeutung,,,,34.0
2017,Anzahl,Männlich,,Arbeitsausbeutung,,,,154.0
2018,Anzahl,Männlich,,Arbeitsausbeutung,,,,54.0
2019,Anzahl,Männlich,,Arbeitsausbeutung,,,,24.0
2020,Anzahl,Männlich,,Arbeitsausbeutung,,,,55.0
2021,Anzahl,Männlich,,Arbeitsausbeutung,,,,74.0
2022,Anzahl,Männlich,,Arbeitsausbeutung,,,,747.0
2023,Anzahl,Männlich,,Arbeitsausbeutung,,,,129.0
2024,Anzahl,Männlich,,Arbeitsausbeutung,,,,145.0
2010,Anzahl,Unbekannt,,Arbeitsausbeutung,.,,,
2011,Anzahl,Unbekannt,,Arbeitsausbeutung,.,,,
2012,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,2.0
2013,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,1.0
2014,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,0.0
2015,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,2.0
2016,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,1.0
2017,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,1.0
