Year,Wirtschaftszweig,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,Personenbeförderung im Straßenverkehr,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,205032.0
2010,Personenbeförderung in der Schifffahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2011,Personenbeförderung in der Schifffahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2012,Personenbeförderung in der Schifffahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2013,Personenbeförderung in der Schifffahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2014,Personenbeförderung in der Schifffahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2015,Personenbeförderung in der Schifffahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2016,Personenbeförderung in der Schifffahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2017,Personenbeförderung in der Schifffahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2018,Personenbeförderung in der Schifffahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2019,Personenbeförderung in der Schifffahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2020,Personenbeförderung in der Schifffahrt,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,8614.0
2021,Personenbeförderung in der Schifffahrt,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,8756.0
2022,Personenbeförderung in der Schifffahrt,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,9206.0
2023,Personenbeförderung in der Schifffahrt,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,8967.0
2010,Personenbeförderung in der Luftfahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2011,Personenbeförderung in der Luftfahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2012,Personenbeförderung in der Luftfahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2013,Personenbeförderung in der Luftfahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2014,Personenbeförderung in der Luftfahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2015,Personenbeförderung in der Luftfahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2016,Personenbeförderung in der Luftfahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2017,Personenbeförderung in der Luftfahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2018,Personenbeförderung in der Luftfahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2019,Personenbeförderung in der Luftfahrt,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2020,Personenbeförderung in der Luftfahrt,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,58297.0
2021,Personenbeförderung in der Luftfahrt,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,54734.0
2022,Personenbeförderung in der Luftfahrt,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,52686.0
2023,Personenbeförderung in der Luftfahrt,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,57060.0
2010,Vermietung von Transportmitteln,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2011,Vermietung von Transportmitteln,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2012,Vermietung von Transportmitteln,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2013,Vermietung von Transportmitteln,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2014,Vermietung von Transportmitteln,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2015,Vermietung von Transportmitteln,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2016,Vermietung von Transportmitteln,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2017,Vermietung von Transportmitteln,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2018,Vermietung von Transportmitteln,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2019,Vermietung von Transportmitteln,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2020,Vermietung von Transportmitteln,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,34896.0
2021,Vermietung von Transportmitteln,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,41038.0
2022,Vermietung von Transportmitteln,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,45861.0
2023,Vermietung von Transportmitteln,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,43418.0
2010,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2011,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2012,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2013,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2014,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2015,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2016,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2017,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2018,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2019,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2020,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,81779.0
2021,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,79189.0
2022,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,88512.0
2023,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,84618.0
2021,Kulturelle Dienstleistungen,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,93922.0
2022,Kulturelle Dienstleistungen,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,104048.0
2023,Kulturelle Dienstleistungen,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,109369.0
2021,Dienstleistungen des Sports und der Erholung,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,306401.0
2022,Dienstleistungen des Sports und der Erholung,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,320884.0
2023,Dienstleistungen des Sports und der Erholung,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,312225.0
2010,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2011,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2012,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2013,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2014,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2015,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2016,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2017,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2018,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2019,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2020,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,387316.0
2021,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,412861.0
2022,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,447744.0
2023,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,451432.0
2010,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2011,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2012,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2013,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2014,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2015,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2016,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2017,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2018,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2019,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2020,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,333052.0
2021,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,474192.0
2022,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,474307.0
2023,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,471128.0
2010,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2011,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2012,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2013,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2014,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2015,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2016,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2017,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2018,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2019,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2020,Gaststätten- und Getränkeausschank,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,1147866.0
2021,Gaststätten- und Getränkeausschank,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,1281136.0
2022,Gaststätten- und Getränkeausschank,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,1338977.0
2023,Gaststätten- und Getränkeausschank,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,1363796.0
2022,Personenbeförderung im Eisenbahnverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,25202.0
2023,Personenbeförderung im Eisenbahnverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,25719.0
2010,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2011,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2012,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2013,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2014,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2015,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2016,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2017,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2018,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2019,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2020,Personenbeförderung im Straßenverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,141037.0
2021,Personenbeförderung im Straßenverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,164689.0
2022,Personenbeförderung im Straßenverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,171881.0
2023,Personenbeförderung im Straßenverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,182026.0
2010,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2011,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2012,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2013,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2014,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2015,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2016,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2017,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2018,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2019,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2020,Personenbeförderung in der Schifffahrt,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,8137.0
2021,Personenbeförderung in der Schifffahrt,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,8254.0
2022,Personenbeförderung in der Schifffahrt,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,8710.0
2023,Personenbeförderung in der Schifffahrt,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,8480.0
2010,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2011,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2012,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2013,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2014,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2015,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2016,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2017,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2018,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2019,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2020,Personenbeförderung in der Luftfahrt,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,57763.0
2021,Personenbeförderung in der Luftfahrt,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,53976.0
2022,Personenbeförderung in der Luftfahrt,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,52214.0
2023,Personenbeförderung in der Luftfahrt,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,56268.0
2010,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2011,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2012,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2013,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2014,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2015,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2016,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2017,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2018,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2019,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2020,Vermietung von Transportmitteln,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,30207.0
2021,Vermietung von Transportmitteln,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,35394.0
2022,Vermietung von Transportmitteln,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,40890.0
2023,Vermietung von Transportmitteln,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,38225.0
2010,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2011,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2012,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2013,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2014,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2015,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2016,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2017,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2018,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2019,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,
2020,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,71757.0
2021,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,69620.0
2022,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,78682.0
2023,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,74969.0
2021,Kulturelle Dienstleistungen,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,48031.0
2022,Kulturelle Dienstleistungen,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,53906.0
