Year,Substanz,Grenze,Geschlecht,Series,Value
2014,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,36515
2015,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,38689
2016,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,39318
2017,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,38925
2018,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,39522
2019,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,40569
2020,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,35701
2021,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,35354
2022,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,34601
2010,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2011,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2012,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2013,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2014,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2015,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2016,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2017,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2018,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2019,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2020,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2021,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2022,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2010,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,191512
2011,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,192159
2012,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,195976
2013,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,194412
2014,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,185305
2015,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,176185
2016,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,170467
2017,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,165834
2018,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,161247
2019,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,159421
2020,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,139044
2021,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,138033
2022,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,139542
2010,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,49139
2011,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,50796
2012,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,52487
2013,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,51211
2014,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,49460
2015,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,46377
2016,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,44589
2017,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,43574
2018,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,42716
2019,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,42158
2020,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,36512
2021,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,37002
2022,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,37277
2010,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,142373
2011,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,141363
2012,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,143488
2013,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,143201
2014,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,135845
2015,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,129808
2016,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,125878
2017,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,122260
2018,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,118531
2019,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,117263
2020,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,102532
2021,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,101031
2022,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,102265
2010,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2011,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2012,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,1
2013,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2014,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2015,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2016,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2017,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2018,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2019,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2020,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2021,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2022,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,0
2010,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",215078
2011,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",231052
2012,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",218360
2013,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",215436
2014,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",230672
2015,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",225471
2016,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",225324
2017,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",217220
2018,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",204906
2019,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",182451
2020,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",181668
2010,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",255405
2011,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",274374
2012,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",259303
2013,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",255830
2014,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",273923
2015,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",267747
2016,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",267572
2017,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",257949
2018,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",243326
2019,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",216660
2020,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",215731
