Year,Units,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,1176.6
2019,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,-1739.6
2020,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,-1072.8
2021,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,-1065.1
2022,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,-1306.1
2023,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,9695.6
2010,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,17675.9
2011,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,21847.7
2012,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,11045.2
2013,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,24190.4
2014,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,26319.6
2015,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,22640.9
2016,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,18129.2
2017,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,24478.4
2018,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,20063.5
2019,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,16505.6
2020,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,12869.1
2021,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,29778.8
2022,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),r,,,13803.7
2023,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,18862.2
2010,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1105.0
2011,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1148.8
2012,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1088.8
2013,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1066.5
2014,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1148.2
2015,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1244.7
2016,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1287.2
2017,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1322.1
2018,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1155.1
2019,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1364.3
2020,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1328.4
2021,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1279.4
2022,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),r,,,1722.5
2023,Millionen EUR,Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1458.4
2010,"Millionen USD, konstante Preise (2023)",,,,,46398.0
2011,"Millionen USD, konstante Preise (2023)",,,,,58935.0
2012,"Millionen USD, konstante Preise (2023)",,,,,38823.0
2013,"Millionen USD, konstante Preise (2023)",,,,,56360.0
2014,"Millionen USD, konstante Preise (2023)",,,,,55250.0
2015,"Millionen USD, konstante Preise (2023)",,,,,58399.3
2016,"Millionen USD, konstante Preise (2023)",,,,,59759.0
2017,"Millionen USD, konstante Preise (2023)",,,,,63102.0
2018,"Millionen USD, konstante Preise (2023)",,,,,57236.0
2019,"Millionen USD, konstante Preise (2023)",,,,,48013.0
2020,"Millionen USD, konstante Preise (2023)",,,,,49103.0
2021,"Millionen USD, konstante Preise (2023)",,,,,71254.0
2022,"Millionen USD, konstante Preise (2023)",,,,,56348.0
2023,"Millionen USD, konstante Preise (2023)",,,,,74355.0
2010,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,14470.0
2011,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,14778.0
2012,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,14470.0
2013,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,15103.0
2014,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,17269.0
2015,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,21998.0
2016,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,30045.0
2017,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,29362.0
2018,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,28264.0
2019,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,27450.0
2020,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,32208.0
2021,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,33420.0
2022,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,39775.0
2023,"Millionen USD, konstante Preise (2023)",Öffentliche Nettoentwicklungsausgaben (ODA),,,,41253.0
2010,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,76.0
2011,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,-151.0
2012,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,-102.0
2013,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,-90.0
2014,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,160.0
2015,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,1624.0
2016,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,-556.0
2017,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,-419.0
2018,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,-129.0
2019,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,16.0
2020,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,464.0
2021,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,1310.0
2022,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,252.0
2023,"Millionen USD, konstante Preise (2023)",Sonstige öffentliche Nettoausgaben (OOF),,,,38.0
2010,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,4131.0
2011,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,10778.0
2012,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,7014.0
2013,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,5754.0
2014,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,-167.0
2015,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,2288.3
2016,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,4190.0
2017,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,7.0
2018,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,1529.0
2019,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,-2216.0
2020,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,-1343.0
2021,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,-1297.0
2022,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,-1499.0
2023,"Millionen USD, konstante Preise (2023)",Öffentlich unterstützte Exportkredite (Nettoausgaben),,,,10484.0
2010,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,26089.0
2011,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,31855.0
2012,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,15876.0
2013,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,34091.0
2014,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,36401.0
2015,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,30795.3
2016,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,24351.0
2017,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,32402.0
2018,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,26072.0
2019,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,21026.0
2020,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,16110.0
2021,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,36263.0
2022,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,15843.0
2023,"Millionen USD, konstante Preise (2023)",Private Leistungen zu marktüblichen Bedingungen (Nettoausgaben),,,,20396.0
2010,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1631.0
2011,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1675.0
2012,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1565.0
2013,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1503.0
2014,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1588.0
2015,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1693.0
2016,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1729.0
2017,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1750.0
2018,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1501.0
2019,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1738.0
2020,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1663.0
2021,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1558.0
2022,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1977.0
2023,"Millionen USD, konstante Preise (2023)",Leistungen von Nichtregierungsorganisationen aus Eigenmitteln (Nettoausgaben),,,,1577.0
