Year,Units,Age group,Sex,Typ of victim-suspect relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,"Per 100,000 inhabitants",21 to under 60 years,,,,,,0.75
2016,"Per 100,000 inhabitants",21 to under 60 years,,,,,,1.2
2017,"Per 100,000 inhabitants",21 to under 60 years,,,,,,0.95
2018,"Per 100,000 inhabitants",21 to under 60 years,,,,,,1.02
2019,"Per 100,000 inhabitants",21 to under 60 years,,,,,,0.8
2020,"Per 100,000 inhabitants",21 to under 60 years,,,,,,0.87
2021,"Per 100,000 inhabitants",21 to under 60 years,,,,,,0.78
2022,"Per 100,000 inhabitants",21 to under 60 years,,,,,,0.79
2023,"Per 100,000 inhabitants",21 to under 60 years,,,,,,1.0
2024,"Per 100,000 inhabitants",21 to under 60 years,,,|,,,0.98
2010,"Per 100,000 inhabitants",60 years and older,,,,,,0.98
2011,"Per 100,000 inhabitants",60 years and older,,,,,,0.86
2012,"Per 100,000 inhabitants",60 years and older,,,,,,0.83
2013,"Per 100,000 inhabitants",60 years and older,,,|,,,0.98
2014,"Per 100,000 inhabitants",60 years and older,,,,,,0.97
2015,"Per 100,000 inhabitants",60 years and older,,,,,,1.1
2016,"Per 100,000 inhabitants",60 years and older,,,,,,1.29
2017,"Per 100,000 inhabitants",60 years and older,,,,,,1.37
2018,"Per 100,000 inhabitants",60 years and older,,,,,,1.01
2019,"Per 100,000 inhabitants",60 years and older,,,,,,0.86
2020,"Per 100,000 inhabitants",60 years and older,,,,,,1.23
2021,"Per 100,000 inhabitants",60 years and older,,,,,,1.01
2022,"Per 100,000 inhabitants",60 years and older,,,,,,1.08
2023,"Per 100,000 inhabitants",60 years and older,,,,,,0.94
2024,"Per 100,000 inhabitants",60 years and older,,,|,,,1.07
2010,"Per 100,000 inhabitants",,Female,,,,,0.94
2011,"Per 100,000 inhabitants",,Female,,,,,0.81
2012,"Per 100,000 inhabitants",,Female,,,,,0.71
2013,"Per 100,000 inhabitants",,Female,,|,,,0.8
2014,"Per 100,000 inhabitants",,Female,,,,,0.82
2015,"Per 100,000 inhabitants",,Female,,,,,0.79
2016,"Per 100,000 inhabitants",,Female,,,,,1.13
2017,"Per 100,000 inhabitants",,Female,,,,,0.91
2018,"Per 100,000 inhabitants",,Female,,,,,0.87
2019,"Per 100,000 inhabitants",,Female,,,,,0.66
2020,"Per 100,000 inhabitants",,Female,,,,,0.85
2021,"Per 100,000 inhabitants",,Female,,,,,0.8
2022,"Per 100,000 inhabitants",,Female,,,,,0.83
2023,"Per 100,000 inhabitants",,Female,,,,,0.87
2024,"Per 100,000 inhabitants",,Female,,|,,,0.8
2010,"Per 100,000 inhabitants",,Male,,,,,1.0
2011,"Per 100,000 inhabitants",,Male,,,,,1.0
2012,"Per 100,000 inhabitants",,Male,,,,,0.9
2013,"Per 100,000 inhabitants",,Male,,|,,,0.9
2014,"Per 100,000 inhabitants",,Male,,,,,0.95
2015,"Per 100,000 inhabitants",,Male,,,,,0.86
2016,"Per 100,000 inhabitants",,Male,,,,,1.22
2017,"Per 100,000 inhabitants",,Male,,,,,1.06
2018,"Per 100,000 inhabitants",,Male,,,,,1.03
2019,"Per 100,000 inhabitants",,Male,,,,,0.85
2020,"Per 100,000 inhabitants",,Male,,,,,1.04
2021,"Per 100,000 inhabitants",,Male,,,,,0.87
2022,"Per 100,000 inhabitants",,Male,,,,,0.82
2023,"Per 100,000 inhabitants",,Male,,,,,0.95
2024,"Per 100,000 inhabitants",,Male,,|,,,1.07
2010,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.74
2011,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.49
2012,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.8
2013,"Per 100,000 inhabitants",13 years and younger,Female,,|,,,0.77
2014,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.5
2015,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.52
2016,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.61
2017,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.56
2018,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.59
2019,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.33
2020,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.81
2021,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.82
2022,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.51
2023,"Per 100,000 inhabitants",13 years and younger,Female,,,,,0.72
2024,"Per 100,000 inhabitants",13 years and younger,Female,,|,,,0.38
2010,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.76
2011,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.94
2012,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.99
2013,"Per 100,000 inhabitants",13 years and younger,Male,,|,,,0.57
2014,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.77
2015,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.73
2016,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.73
2017,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.74
2018,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.75
2019,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.53
2020,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.68
2021,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.72
2022,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.43
2023,"Per 100,000 inhabitants",13 years and younger,Male,,,,,0.58
2024,"Per 100,000 inhabitants",13 years and younger,Male,,|,,,0.65
2010,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.89
2011,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.77
2012,"Per 100,000 inhabitants",14 to under 18 years,Female,,‒,,,0.0
2013,"Per 100,000 inhabitants",14 to under 18 years,Female,,|,,,0.26
2014,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.32
2015,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.58
2016,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,1.43
2017,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.07
2018,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.53
2019,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.27
2020,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.27
2021,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.48
2022,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.82
2023,"Per 100,000 inhabitants",14 to under 18 years,Female,,,,,0.53
2024,"Per 100,000 inhabitants",14 to under 18 years,Female,,|,,,0.47
2010,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.48
2011,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.91
2012,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.28
2013,"Per 100,000 inhabitants",14 to under 18 years,Male,,|,,,0.49
2014,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.61
2015,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.3
2016,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.78
2017,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.18
2018,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.37
2019,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.44
2020,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.51
2021,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.45
2022,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.13
2023,"Per 100,000 inhabitants",14 to under 18 years,Male,,,,,0.56
2024,"Per 100,000 inhabitants",14 to under 18 years,Male,,|,,,0.5
2010,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,1.37
2011,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.75
2012,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.79
2013,"Per 100,000 inhabitants",18 to under 21 years,Female,,|,,,0.5
2014,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.76
2015,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.75
2016,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,1.45
2017,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.56
2018,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.96
2019,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.41
2020,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.5
2021,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.34
2022,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.69
2023,"Per 100,000 inhabitants",18 to under 21 years,Female,,,,,0.76
2024,"Per 100,000 inhabitants",18 to under 21 years,Female,,|,,,1.12
2010,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,1.31
2011,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,1.36
2012,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,0.98
2013,"Per 100,000 inhabitants",18 to under 21 years,Male,,|,,,0.71
2014,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,0.88
2015,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,0.7
2016,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,1.82
2017,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,0.65
2018,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,1.01
2019,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,0.81
2020,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,1.13
2021,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,1.18
2022,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,1.21
2023,"Per 100,000 inhabitants",18 to under 21 years,Male,,,,,0.71
2024,"Per 100,000 inhabitants",18 to under 21 years,Male,,|,,,1.11
2010,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.92
2011,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.83
2012,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.64
2013,"Per 100,000 inhabitants",21 to under 60 years,Female,,|,,,0.74
2014,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.84
2015,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.62
2016,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,1.1
2017,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.82
2018,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.86
2019,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.67
2020,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.67
2021,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.66
2022,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.65
2023,"Per 100,000 inhabitants",21 to under 60 years,Female,,,,,0.87
2024,"Per 100,000 inhabitants",21 to under 60 years,Female,,|,,,0.73
2010,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1.1
2011,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1.09
2012,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,0.98
2013,"Per 100,000 inhabitants",21 to under 60 years,Male,,|,,,1.0
2014,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1.03
2015,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,0.87
2016,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1.31
2017,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1.07
2018,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1.18
2019,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,0.93
2020,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1.07
2021,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,0.9
2022,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,0.92
2023,"Per 100,000 inhabitants",21 to under 60 years,Male,,,,,1.13
2024,"Per 100,000 inhabitants",21 to under 60 years,Male,,|,,,1.23
2010,"Per 100,000 inhabitants",60 years and older,Female,,,,,1.02
2011,"Per 100,000 inhabitants",60 years and older,Female,,,,,0.93
2012,"Per 100,000 inhabitants",60 years and older,Female,,,,,0.89
2013,"Per 100,000 inhabitants",60 years and older,Female,,|,,,1.01
2014,"Per 100,000 inhabitants",60 years and older,Female,,,,,0.99
2015,"Per 100,000 inhabitants",60 years and older,Female,,,,,1.16
2016,"Per 100,000 inhabitants",60 years and older,Female,,,,,1.31
2017,"Per 100,000 inhabitants",60 years and older,Female,,,,,1.33
2018,"Per 100,000 inhabitants",60 years and older,Female,,,,,1.04
2019,"Per 100,000 inhabitants",60 years and older,Female,,,,,0.82
2020,"Per 100,000 inhabitants",60 years and older,Female,,,,,1.24
2021,"Per 100,000 inhabitants",60 years and older,Female,,,,,1.08
2022,"Per 100,000 inhabitants",60 years and older,Female,,,,,1.24
2023,"Per 100,000 inhabitants",60 years and older,Female,,,,,0.99
2024,"Per 100,000 inhabitants",60 years and older,Female,,|,,,1.08
2010,"Per 100,000 inhabitants",60 years and older,Male,,,,,0.93
2011,"Per 100,000 inhabitants",60 years and older,Male,,,,,0.77
2012,"Per 100,000 inhabitants",60 years and older,Male,,,,,0.76
2013,"Per 100,000 inhabitants",60 years and older,Male,,|,,,0.94
2014,"Per 100,000 inhabitants",60 years and older,Male,,,,,0.95
2015,"Per 100,000 inhabitants",60 years and older,Male,,,,,1.03
2016,"Per 100,000 inhabitants",60 years and older,Male,,,,,1.27
2017,"Per 100,000 inhabitants",60 years and older,Male,,,,,1.41
2018,"Per 100,000 inhabitants",60 years and older,Male,,,,,0.97
2019,"Per 100,000 inhabitants",60 years and older,Male,,,,,0.9
2020,"Per 100,000 inhabitants",60 years and older,Male,,,,,1.21
2021,"Per 100,000 inhabitants",60 years and older,Male,,,,,0.92
2022,"Per 100,000 inhabitants",60 years and older,Male,,,,,0.89
2023,"Per 100,000 inhabitants",60 years and older,Male,,,,,0.88
2024,"Per 100,000 inhabitants",60 years and older,Male,,|,,,1.06
2010,Number,,,,,,,793.0
2011,Number,,,,,,,738.0
2012,Number,,,,,,,659.0
2013,Number,,,,,,,682.0
2014,Number,,,,,,,716.0
2015,Number,,,,,,,682.0
2016,Number,,,,,,,963.0
2017,Number,,,,,,,813.0
2018,Number,,,,,,,788.0
2019,Number,,,,,,,623.0
2020,Number,,,,,,,782.0
2021,Number,,,,,,,695.0
2022,Number,,,,,,,686.0
2023,Number,,,,,,,770.0
2024,Number,,,,,,,779.0
2010,Number,13 years and younger,,,,,,77.0
2011,Number,13 years and younger,,,,,,73.0
2012,Number,13 years and younger,,,,,,90.0
2013,Number,13 years and younger,,,,,,66.0
2014,Number,13 years and younger,,,,,,63.0
2015,Number,13 years and younger,,,,,,62.0
2016,Number,13 years and younger,,,,,,68.0
2017,Number,13 years and younger,,,,,,67.0
2018,Number,13 years and younger,,,,,,70.0
2019,Number,13 years and younger,,,,,,46.0
2020,Number,13 years and younger,,,,,,79.0
2021,Number,13 years and younger,,,,,,83.0
2022,Number,13 years and younger,,,,,,51.0
2023,Number,13 years and younger,,,,,,72.0
2024,Number,13 years and younger,,,,,,56.0
2010,Number,14 to under 18 years,,,,,,22.0
2011,Number,14 to under 18 years,,,,,,27.0
2012,Number,14 to under 18 years,,,,,,6.0
2013,Number,14 to under 18 years,,,,,,12.0
2014,Number,14 to under 18 years,,,,,,15.0
2015,Number,14 to under 18 years,,,,,,14.0
2016,Number,14 to under 18 years,,,,,,35.0
2017,Number,14 to under 18 years,,,,,,4.0
2018,Number,14 to under 18 years,,,,,,14.0
2019,Number,14 to under 18 years,,,,,,11.0
2020,Number,14 to under 18 years,,,,,,12.0
2021,Number,14 to under 18 years,,,,,,14.0
2022,Number,14 to under 18 years,,,,,,14.0
2023,Number,14 to under 18 years,,,,,,17.0
2024,Number,14 to under 18 years,,,,,,15.0
2010,Number,18 to under 21 years,,,,,,38.0
2011,Number,18 to under 21 years,,,,,,29.0
2012,Number,18 to under 21 years,,,,,,23.0
2013,Number,18 to under 21 years,,,,,,15.0
2014,Number,18 to under 21 years,,,,,,20.0
2015,Number,18 to under 21 years,,,,,,18.0
2016,Number,18 to under 21 years,,,,,,43.0
2017,Number,18 to under 21 years,,,,,,16.0
2018,Number,18 to under 21 years,,,,,,26.0
2019,Number,18 to under 21 years,,,,,,16.0
2020,Number,18 to under 21 years,,,,,,21.0
2021,Number,18 to under 21 years,,,,,,19.0
2022,Number,18 to under 21 years,,,,,,23.0
2023,Number,18 to under 21 years,,,,,,18.0
2024,Number,18 to under 21 years,,,,,,27.0
2010,Number,21 to under 60 years,,,,,,448.0
2011,Number,21 to under 60 years,,,,,,424.0
2012,Number,21 to under 60 years,,,,,,359.0
2013,Number,21 to under 60 years,,,,,,377.0
2014,Number,21 to under 60 years,,,,,,405.0
2015,Number,21 to under 60 years,,,,,,343.0
2016,Number,21 to under 60 years,,,,,,527.0
2017,Number,21 to under 60 years,,,,,,414.0
2018,Number,21 to under 60 years,,,,,,445.0
2019,Number,21 to under 60 years,,,,,,349.0
2020,Number,21 to under 60 years,,,,,,378.0
2021,Number,21 to under 60 years,,,,,,336.0
2022,Number,21 to under 60 years,,,,,,334.0
2023,Number,21 to under 60 years,,,,,,430.0
2024,Number,21 to under 60 years,,,,,,412.0
2010,Number,60 years and older,,,,,,208.0
2011,Number,60 years and older,,,,,,185.0
2012,Number,60 years and older,,,,,,181.0
2013,Number,60 years and older,,,,,,212.0
2014,Number,60 years and older,,,,,,213.0
2015,Number,60 years and older,,,,,,245.0
2016,Number,60 years and older,,,,,,290.0
2017,Number,60 years and older,,,,,,312.0
2018,Number,60 years and older,,,,,,233.0
2019,Number,60 years and older,,,,,,201.0
2020,Number,60 years and older,,,,,,292.0
2021,Number,60 years and older,,,,,,243.0
2022,Number,60 years and older,,,,,,264.0
2023,Number,60 years and older,,,,,,233.0
2024,Number,60 years and older,,,,,,269.0
2010,Number,,Female,,,,,393.0
2011,Number,,Female,,,,,338.0
2012,Number,,Female,,,,,296.0
2013,Number,,Female,,,,,328.0
2014,Number,,Female,,,,,339.0
2015,Number,,Female,,,,,327.0
2016,Number,,Female,,,,,469.0
2017,Number,,Female,,,,,380.0
2018,Number,,Female,,,,,367.0
2019,Number,,Female,,,,,276.0
2020,Number,,Female,,,,,357.0
2021,Number,,Female,,,,,337.0
2022,Number,,Female,,,,,349.0
2023,Number,,Female,,,,,374.0
2024,Number,,Female,,,,,338.0
2010,Number,,Male,,,,,400.0
2011,Number,,Male,,,,,400.0
2012,Number,,Male,,,,,363.0
2013,Number,,Male,,,,,354.0
2014,Number,,Male,,,,,377.0
2015,Number,,Male,,,,,355.0
2016,Number,,Male,,,,,494.0
2017,Number,,Male,,,,,433.0
2018,Number,,Male,,,,,421.0
2019,Number,,Male,,,,,347.0
2020,Number,,Male,,,,,425.0
2021,Number,,Male,,,,,358.0
2022,Number,,Male,,,,,337.0
2023,Number,,Male,,,,,396.0
2024,Number,,Male,,,,,441.0
2010,Number,13 years and younger,Female,,,,,37.0
2011,Number,13 years and younger,Female,,,,,24.0
2012,Number,13 years and younger,Female,,,,,39.0
2013,Number,13 years and younger,Female,,,,,37.0
2014,Number,13 years and younger,Female,,,,,24.0
2015,Number,13 years and younger,Female,,,,,25.0
2016,Number,13 years and younger,Female,,,,,30.0
2017,Number,13 years and younger,Female,,,,,28.0
2018,Number,13 years and younger,Female,,,,,30.0
2019,Number,13 years and younger,Female,,,,,17.0
2020,Number,13 years and younger,Female,,,,,43.0
2021,Number,13 years and younger,Female,,,,,43.0
2022,Number,13 years and younger,Female,,,,,27.0
2023,Number,13 years and younger,Female,,,,,39.0
2024,Number,13 years and younger,Female,,,,,20.0
2010,Number,13 years and younger,Male,,,,,40.0
2011,Number,13 years and younger,Male,,,,,49.0
2012,Number,13 years and younger,Male,,,,,51.0
2013,Number,13 years and younger,Male,,,,,29.0
2014,Number,13 years and younger,Male,,,,,39.0
2015,Number,13 years and younger,Male,,,,,37.0
2016,Number,13 years and younger,Male,,,,,38.0
2017,Number,13 years and younger,Male,,,,,39.0
2018,Number,13 years and younger,Male,,,,,40.0
2019,Number,13 years and younger,Male,,,,,29.0
2020,Number,13 years and younger,Male,,,,,36.0
2021,Number,13 years and younger,Male,,,,,40.0
2022,Number,13 years and younger,Male,,,,,24.0
2023,Number,13 years and younger,Male,,,,,33.0
2024,Number,13 years and younger,Male,,,,,36.0
2010,Number,14 to under 18 years,Female,,,,,14.0
2011,Number,14 to under 18 years,Female,,,,,12.0
2012,Number,14 to under 18 years,Female,,‒,,,0.0
2013,Number,14 to under 18 years,Female,,,,,4.0
2014,Number,14 to under 18 years,Female,,,,,5.0
2015,Number,14 to under 18 years,Female,,,,,9.0
2016,Number,14 to under 18 years,Female,,,,,22.0
2017,Number,14 to under 18 years,Female,,,,,1.0
2018,Number,14 to under 18 years,Female,,,,,8.0
2019,Number,14 to under 18 years,Female,,,,,4.0
2020,Number,14 to under 18 years,Female,,,,,4.0
2021,Number,14 to under 18 years,Female,,,,,7.0
2022,Number,14 to under 18 years,Female,,,,,12.0
2023,Number,14 to under 18 years,Female,,,,,8.0
2024,Number,14 to under 18 years,Female,,,,,7.0
2010,Number,14 to under 18 years,Male,,,,,8.0
2011,Number,14 to under 18 years,Male,,,,,15.0
2012,Number,14 to under 18 years,Male,,,,,6.0
2013,Number,14 to under 18 years,Male,,,,,8.0
2014,Number,14 to under 18 years,Male,,,,,10.0
2015,Number,14 to under 18 years,Male,,,,,5.0
2016,Number,14 to under 18 years,Male,,,,,13.0
2017,Number,14 to under 18 years,Male,,,,,3.0
2018,Number,14 to under 18 years,Male,,,,,6.0
2019,Number,14 to under 18 years,Male,,,,,7.0
2020,Number,14 to under 18 years,Male,,,,,8.0
2021,Number,14 to under 18 years,Male,,,,,7.0
2022,Number,14 to under 18 years,Male,,,,,2.0
2023,Number,14 to under 18 years,Male,,,,,9.0
2024,Number,14 to under 18 years,Male,,,,,8.0
2010,Number,18 to under 21 years,Female,,,,,19.0
2011,Number,18 to under 21 years,Female,,,,,10.0
2012,Number,18 to under 21 years,Female,,,,,10.0
2013,Number,18 to under 21 years,Female,,,,,6.0
2014,Number,18 to under 21 years,Female,,,,,9.0
2015,Number,18 to under 21 years,Female,,,,,9.0
2016,Number,18 to under 21 years,Female,,,,,18.0
2017,Number,18 to under 21 years,Female,,,,,7.0
2018,Number,18 to under 21 years,Female,,,,,12.0
2019,Number,18 to under 21 years,Female,,,,,5.0
2020,Number,18 to under 21 years,Female,,,,,6.0
2021,Number,18 to under 21 years,Female,,,,,4.0
2022,Number,18 to under 21 years,Female,,,,,8.0
2023,Number,18 to under 21 years,Female,,,,,9.0
2024,Number,18 to under 21 years,Female,,,,,13.0
2010,Number,18 to under 21 years,Male,,,,,19.0
2011,Number,18 to under 21 years,Male,,,,,19.0
2012,Number,18 to under 21 years,Male,,,,,13.0
2013,Number,18 to under 21 years,Male,,,,,9.0
2014,Number,18 to under 21 years,Male,,,,,11.0
2015,Number,18 to under 21 years,Male,,,,,9.0
2016,Number,18 to under 21 years,Male,,,,,25.0
