Year,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,,,,20.7
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,,,,17.8
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,,,,16.7
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,,,,15.0
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,|,,,21.7
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,,,,22.6
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,,,,24.0
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,,,,23.7
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,,,,22.1
2025,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,,,,22.4
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,.,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,.,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,.,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,.,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,.,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,,,,18.5
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,,,,20.9
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,,,,19.3
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,,,,18.4
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,,,,16.9
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,|,,,22.8
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,,,,22.9
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,,,,24.5
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,,,,24.0
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,,,,23.4
2025,Von Armut oder sozialer Ausgrenzung bedrohte Personen,12 bis unter 18 Jahre,,,,,23.9
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,.,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,.,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,.,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,.,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,.,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,,,,21.1
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,,,,20.1
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,,,,19.2
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,,,,18.7
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,,,,17.3
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,|,,,19.6
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,,,,20.3
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,,,,20.6
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,,,,20.8
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,,,,20.5
2025,Von Armut oder sozialer Ausgrenzung bedrohte Personen,18 bis unter 65 Jahre,,,,,20.6
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,.,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,.,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,.,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,.,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,.,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,,,,17.1
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,,,,18.3
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,,,,17.6
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,,,,18.9
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,,,,18.8
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,|,,,21.0
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,,,,20.5
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,,,,19.8
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,,,,20.6
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,,,,21.2
2025,Von Armut oder sozialer Ausgrenzung bedrohte Personen,65 Jahre und älter,,,,,21.0
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,.,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,.,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,.,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,.,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,.,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,,,,21.3
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,,,,21.3
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,,,,20.1
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,,,,19.6
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,,,,18.4
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,|,,,21.2
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,,,,21.7
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,,,,21.9
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,,,,22.1
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,,,,21.9
2025,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Weiblich,,,,21.9
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,.,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,.,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,.,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,.,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,.,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,,,,18.6
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,,,,18.3
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,,,,17.4
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,,,,17.4
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,,,,16.1
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,|,,,19.5
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,,,,20.2
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,,,,20.3
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,,,,20.5
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,,,,20.2
2025,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,Männlich,,,,20.5
2010,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,15.6
2011,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,15.8
2012,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,16.1
2013,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,16.1
2014,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,16.7
2015,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,16.7
2016,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,16.5
2017,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,16.1
2018,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,16.0
2019,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,14.8
2020,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,|,,,16.1
2021,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,16.0
2022,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,14.8
2023,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,14.4
2024,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,15.5
2025,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,,,,,16.1
2010,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,16.6
2011,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,15.6
2012,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,14.8
2013,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,13.8
2014,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,16.5
2015,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,15.5
2016,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,14.3
2017,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,14.4
2018,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,14.6
2019,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,10.8
2020,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,|,,,15.0
2021,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,17.0
2022,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,14.0
2023,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,13.7
2024,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,15.6
2025,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",5 Jahre und jünger,,,,,16.3
2010,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,17.4
2011,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,14.7
2012,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,13.5
2013,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,13.5
2014,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,12.0
2015,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,12.6
2016,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,14.1
2017,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,14.5
2018,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,12.9
2019,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,11.3
2020,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,|,,,14.0
2021,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,14.5
2022,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,14.6
2023,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,13.0
2024,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,14.3
2025,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",6 bis unter 12 Jahre,,,,,14.6
2010,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,18.7
2011,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,16.5
2012,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,17.2
2013,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,16.6
2014,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,16.7
2015,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,15.4
2016,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,17.9
2017,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,16.7
2018,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,16.1
2019,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,14.3
2020,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,|,,,17.2
2021,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,17.6
2022,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,16.3
2023,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,15.4
2024,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,15.9
2025,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",12 bis unter 18 Jahre,,,,,17.1
2010,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,15.6
2011,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,16.4
2012,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,16.6
2013,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,16.9
2014,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,17.2
2015,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,17.3
2016,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,16.4
2017,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,16.0
2018,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,15.7
2019,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,14.5
2020,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,|,,,15.0
2021,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,14.7
2022,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,13.5
2023,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,13.2
2024,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,14.2
2025,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",18 bis unter 65 Jahre,,,,,15.0
2010,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,14.1
2011,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,14.2
2012,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,15.0
2013,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,14.9
2014,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,16.3
2015,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,16.5
2016,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,17.6
2017,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,17.0
2018,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,18.2
2019,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,18.0
2020,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,|,,,20.0
2021,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,19.4
2022,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,18.3
2023,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,18.4
2024,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,19.4
2025,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",65 Jahre und älter,,,,,19.5
2010,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,16.4
2011,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,16.8
2012,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,17.2
2013,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,17.2
2014,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,17.4
2015,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,17.4
2016,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,17.8
2017,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,17.1
2018,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,16.8
2019,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,15.7
2020,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,|,,,16.8
2021,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,16.6
2022,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,15.5
2023,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,15.1
2024,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,16.2
2025,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Weiblich,,,,16.7
2010,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,14.9
2011,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,14.9
2012,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,14.9
2013,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,15.0
2014,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,15.9
2015,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,15.9
2016,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,15.2
2017,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,15.0
2018,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,15.2
2019,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,13.9
2020,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,|,,,15.3
2021,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,15.4
2022,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,14.0
2023,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,13.7
2024,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,14.7
2025,"Bevölkerung, die unter der nationalen Armutsgrenze lebt",,Männlich,,,,15.6
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,.,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,.,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,.,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,.,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,.,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,,9.5
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,,9.4
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,,8.7
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,,8.0
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,,7.6
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,|,,,8.3
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,,9.5
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,,9.8
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,,9.9
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,,10.0
2025,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,,,,,10.3
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,.,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,.,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,.,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,.,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,.,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,,,,8.6
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,,,,9.1
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,,,,8.2
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,,,,6.2
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,,,,5.7
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,|,,,10.0
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,,,,12.5
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,,,,11.9
