Year,environmental protection and/or resource management domain,Wirtschaftszweig,Sektor,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2024,,"agriculture, forestry and fishing (section a)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,mining and quarrying (section b),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,mining and quarrying (section b),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),44.752
2024,,mining and quarrying (section b),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,manufacturing (section c),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,manufacturing (section c),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),100848.109
2024,,manufacturing (section c),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,"electricity, gas, steam and air conditioning supply (section d)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,"electricity, gas, steam and air conditioning supply (section d)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),53506.283
2024,,"electricity, gas, steam and air conditioning supply (section d)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,"water supply; sewerage, waste management and remediation activities (section e)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,"water supply; sewerage, waste management and remediation activities (section e)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),78618.446
2024,,"water supply; sewerage, waste management and remediation activities (section e)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,construction (section f),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,construction (section f),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),14804.37
2024,,construction (section f),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,information and communication (section j),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,information and communication (section j),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),600.228
2024,,information and communication (section j),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,"professional, scientific and technical activities (section m)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,"professional, scientific and technical activities (section m)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),10205.845
2024,,"professional, scientific and technical activities (section m)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,public administration and defence; compulsory social security (section o),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,public administration and defence; compulsory social security (section o),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),10336.34
2024,,public administration and defence; compulsory social security (section o),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,education (section p),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,education (section p),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),1392.03
2024,,education (section p),,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2022,,"other services (sections g, h, i, k, l, n, q, r, s, t and u)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2023,,"other services (sections g, h, i, k, l, n, q, r, s, t and u)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),4318.738
2024,,"other services (sections g, h, i, k, l, n, q, r, s, t and u)",,,,,Produktionswert des Sektors Umweltgüter und Umweltdienstleistungen (EGSS),
2010,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,10279.0
2011,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,11415.0
2012,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,11701.0
2013,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,11331.0
2014,,,,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,12659.0
2015,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,12117.0
2016,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,12824.0
2017,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,13263.0
2018,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,14747.0
2019,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,15577.0
2020,,,,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,15551.0
2021,,,,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,14210.0
2022,,,,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,15376.0
2023,,,,p,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,17119.0
2010,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,2726.0
2011,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3434.0
2012,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3716.0
2013,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3708.0
2014,,,Staat,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4271.0
2015,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4051.0
2016,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4594.0
2017,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4245.0
2018,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4625.0
2019,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,4979.0
2020,,,Staat,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,5057.0
2021,,,Staat,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3589.0
2022,,,Staat,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3361.0
2023,,,Staat,p,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,3546.0
2010,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,7553.0
2011,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,7981.0
2012,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,7985.0
2013,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,7623.0
2014,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,8388.0
2015,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,8066.0
2016,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,8230.0
2017,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,9018.0
2018,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,10123.0
2019,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,10598.0
2020,,,Unternehmen,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,10495.0
2021,,,Unternehmen,,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,10621.0
2022,,,Unternehmen,r,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,12016.0
2023,,,Unternehmen,p,,,Bruttoanlageinvestitionen für Umweltschutzaktivitäten,13572.0
