Year,Units,Altersklasse,Geschlecht,Art der Opfer-Tatverdächtigen-Beziehung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,,,,1.0
2024,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,,,|,,,0.98
2010,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,0.98
2011,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,0.86
2012,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,0.83
2013,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,|,,,0.98
2014,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,0.97
2015,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,1.1
2016,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,1.29
2017,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,1.37
2018,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,1.01
2019,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,0.86
2020,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,1.23
2021,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,1.01
2022,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,1.08
2023,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,,,,0.94
2024,Je 100 000 Einwohner/-innen,60 Jahre und älter,,,|,,,1.07
2010,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.94
2011,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.81
2012,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.71
2013,Je 100 000 Einwohner/-innen,,Weiblich,,|,,,0.8
2014,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.82
2015,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.79
2016,Je 100 000 Einwohner/-innen,,Weiblich,,,,,1.13
2017,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.91
2018,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.87
2019,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.66
2020,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.85
2021,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.8
2022,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.83
2023,Je 100 000 Einwohner/-innen,,Weiblich,,,,,0.87
2024,Je 100 000 Einwohner/-innen,,Weiblich,,|,,,0.8
2010,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2011,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.0
2012,Je 100 000 Einwohner/-innen,,Männlich,,,,,0.9
2013,Je 100 000 Einwohner/-innen,,Männlich,,|,,,0.9
2014,Je 100 000 Einwohner/-innen,,Männlich,,,,,0.95
2015,Je 100 000 Einwohner/-innen,,Männlich,,,,,0.86
2016,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.22
2017,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.06
2018,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.03
2019,Je 100 000 Einwohner/-innen,,Männlich,,,,,0.85
2020,Je 100 000 Einwohner/-innen,,Männlich,,,,,1.04
2021,Je 100 000 Einwohner/-innen,,Männlich,,,,,0.87
2022,Je 100 000 Einwohner/-innen,,Männlich,,,,,0.82
2023,Je 100 000 Einwohner/-innen,,Männlich,,,,,0.95
2024,Je 100 000 Einwohner/-innen,,Männlich,,|,,,1.07
2010,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.74
2011,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.49
2012,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.8
2013,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,|,,,0.77
2014,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.5
2015,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.52
2016,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.61
2017,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.56
2018,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.59
2019,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.33
2020,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.81
2021,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.82
2022,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.51
2023,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,,,,0.72
2024,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Weiblich,,|,,,0.38
2010,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.76
2011,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.94
2012,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.99
2013,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,|,,,0.57
2014,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.77
2015,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.73
2016,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.73
2017,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.74
2018,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.75
2019,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.53
2020,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.68
2021,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.72
2022,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.43
2023,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,,,,0.58
2024,Je 100 000 Einwohner/-innen,13 Jahre und jünger,Männlich,,|,,,0.65
2010,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.89
2011,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.77
2012,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,‒,,,0.0
2013,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,|,,,0.26
2014,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.32
2015,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.58
2016,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,1.43
2017,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.07
2018,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.53
2019,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.27
2020,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.27
2021,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.48
2022,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.82
2023,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,,,,0.53
2024,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Weiblich,,|,,,0.47
2010,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.48
2011,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.91
2012,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.28
2013,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,|,,,0.49
2014,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.61
2015,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.3
2016,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.78
2017,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.18
2018,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.37
2019,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.44
2020,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.51
2021,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.45
2022,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.13
2023,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,,,,0.56
2024,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,Männlich,,|,,,0.5
2010,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,1.37
2011,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.75
2012,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.79
2013,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,|,,,0.5
2014,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.76
2015,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.75
2016,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,1.45
2017,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.56
2018,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.96
2019,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.41
2020,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.5
2021,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.34
2022,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.69
2023,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,,,,0.76
2024,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Weiblich,,|,,,1.12
2010,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,1.31
2011,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,1.36
2012,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,0.98
2013,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,|,,,0.71
2014,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,0.88
2015,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,0.7
2016,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,1.82
2017,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,0.65
2018,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,1.01
2019,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,0.81
2020,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,1.13
2021,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,1.18
2022,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,1.21
2023,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,,,,0.71
2024,Je 100 000 Einwohner/-innen,18 bis unter 21 Jahre,Männlich,,|,,,1.11
2010,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.92
2011,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.83
2012,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.64
2013,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,|,,,0.74
2014,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.84
2015,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.62
2016,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,1.1
2017,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.82
2018,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.86
2019,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.67
2020,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.67
2021,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.66
2022,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.65
2023,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,0.87
2024,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,|,,,0.73
2010,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1.1
2011,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1.09
2012,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,0.98
2013,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,|,,,1.0
2014,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1.03
2015,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,0.87
2016,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1.31
2017,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1.07
2018,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1.18
2019,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,0.93
2020,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1.07
2021,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,0.9
2022,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,0.92
2023,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,1.13
2024,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,|,,,1.23
2010,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,1.02
2011,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,0.93
2012,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,0.89
2013,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,|,,,1.01
2014,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,0.99
2015,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,1.16
2016,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,1.31
2017,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,1.33
2018,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,1.04
2019,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,0.82
2020,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,1.24
2021,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,1.08
2022,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,1.24
2023,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,0.99
2024,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,|,,,1.08
2010,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,0.93
2011,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,0.77
2012,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,0.76
2013,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,|,,,0.94
2014,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,0.95
2015,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,1.03
2016,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,1.27
2017,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,1.41
2018,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,0.97
2019,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,0.9
2020,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,1.21
2021,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,0.92
2022,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,0.89
2023,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,0.88
2024,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,|,,,1.06
2010,Anzahl,,,,,,,793.0
2011,Anzahl,,,,,,,738.0
2012,Anzahl,,,,,,,659.0
2013,Anzahl,,,,,,,682.0
2014,Anzahl,,,,,,,716.0
2015,Anzahl,,,,,,,682.0
2016,Anzahl,,,,,,,963.0
2017,Anzahl,,,,,,,813.0
2018,Anzahl,,,,,,,788.0
2019,Anzahl,,,,,,,623.0
2020,Anzahl,,,,,,,782.0
2021,Anzahl,,,,,,,695.0
2022,Anzahl,,,,,,,686.0
2023,Anzahl,,,,,,,770.0
2024,Anzahl,,,,,,,779.0
2010,Anzahl,13 Jahre und jünger,,,,,,77.0
2011,Anzahl,13 Jahre und jünger,,,,,,73.0
2012,Anzahl,13 Jahre und jünger,,,,,,90.0
2013,Anzahl,13 Jahre und jünger,,,,,,66.0
2014,Anzahl,13 Jahre und jünger,,,,,,63.0
2015,Anzahl,13 Jahre und jünger,,,,,,62.0
2016,Anzahl,13 Jahre und jünger,,,,,,68.0
2017,Anzahl,13 Jahre und jünger,,,,,,67.0
2018,Anzahl,13 Jahre und jünger,,,,,,70.0
2019,Anzahl,13 Jahre und jünger,,,,,,46.0
2020,Anzahl,13 Jahre und jünger,,,,,,79.0
2021,Anzahl,13 Jahre und jünger,,,,,,83.0
2022,Anzahl,13 Jahre und jünger,,,,,,51.0
2023,Anzahl,13 Jahre und jünger,,,,,,72.0
2024,Anzahl,13 Jahre und jünger,,,,,,56.0
2010,Anzahl,14 bis unter 18 Jahre,,,,,,22.0
2011,Anzahl,14 bis unter 18 Jahre,,,,,,27.0
2012,Anzahl,14 bis unter 18 Jahre,,,,,,6.0
2013,Anzahl,14 bis unter 18 Jahre,,,,,,12.0
2014,Anzahl,14 bis unter 18 Jahre,,,,,,15.0
2015,Anzahl,14 bis unter 18 Jahre,,,,,,14.0
2016,Anzahl,14 bis unter 18 Jahre,,,,,,35.0
2017,Anzahl,14 bis unter 18 Jahre,,,,,,4.0
2018,Anzahl,14 bis unter 18 Jahre,,,,,,14.0
2019,Anzahl,14 bis unter 18 Jahre,,,,,,11.0
2020,Anzahl,14 bis unter 18 Jahre,,,,,,12.0
2021,Anzahl,14 bis unter 18 Jahre,,,,,,14.0
2022,Anzahl,14 bis unter 18 Jahre,,,,,,14.0
2023,Anzahl,14 bis unter 18 Jahre,,,,,,17.0
2024,Anzahl,14 bis unter 18 Jahre,,,,,,15.0
2010,Anzahl,18 bis unter 21 Jahre,,,,,,38.0
2011,Anzahl,18 bis unter 21 Jahre,,,,,,29.0
2012,Anzahl,18 bis unter 21 Jahre,,,,,,23.0
2013,Anzahl,18 bis unter 21 Jahre,,,,,,15.0
2014,Anzahl,18 bis unter 21 Jahre,,,,,,20.0
2015,Anzahl,18 bis unter 21 Jahre,,,,,,18.0
2016,Anzahl,18 bis unter 21 Jahre,,,,,,43.0
2017,Anzahl,18 bis unter 21 Jahre,,,,,,16.0
2018,Anzahl,18 bis unter 21 Jahre,,,,,,26.0
2019,Anzahl,18 bis unter 21 Jahre,,,,,,16.0
2020,Anzahl,18 bis unter 21 Jahre,,,,,,21.0
2021,Anzahl,18 bis unter 21 Jahre,,,,,,19.0
2022,Anzahl,18 bis unter 21 Jahre,,,,,,23.0
2023,Anzahl,18 bis unter 21 Jahre,,,,,,18.0
2024,Anzahl,18 bis unter 21 Jahre,,,,,,27.0
2010,Anzahl,21 bis unter 60 Jahre,,,,,,448.0
2011,Anzahl,21 bis unter 60 Jahre,,,,,,424.0
2012,Anzahl,21 bis unter 60 Jahre,,,,,,359.0
2013,Anzahl,21 bis unter 60 Jahre,,,,,,377.0
2014,Anzahl,21 bis unter 60 Jahre,,,,,,405.0
2015,Anzahl,21 bis unter 60 Jahre,,,,,,343.0
2016,Anzahl,21 bis unter 60 Jahre,,,,,,527.0
2017,Anzahl,21 bis unter 60 Jahre,,,,,,414.0
2018,Anzahl,21 bis unter 60 Jahre,,,,,,445.0
2019,Anzahl,21 bis unter 60 Jahre,,,,,,349.0
2020,Anzahl,21 bis unter 60 Jahre,,,,,,378.0
2021,Anzahl,21 bis unter 60 Jahre,,,,,,336.0
2022,Anzahl,21 bis unter 60 Jahre,,,,,,334.0
2023,Anzahl,21 bis unter 60 Jahre,,,,,,430.0
2024,Anzahl,21 bis unter 60 Jahre,,,,,,412.0
2010,Anzahl,60 Jahre und älter,,,,,,208.0
2011,Anzahl,60 Jahre und älter,,,,,,185.0
2012,Anzahl,60 Jahre und älter,,,,,,181.0
2013,Anzahl,60 Jahre und älter,,,,,,212.0
