Year,timeseries,field of work,level of court,Value
2013,"proportions of positions of women in the public service compared to the national distribution, by field of work","education, science, research, cultural affairs",,1.33
2014,"proportions of positions of women in the public service compared to the national distribution, by field of work","education, science, research, cultural affairs",,1.33
2015,"proportions of positions of women in the public service compared to the national distribution, by field of work","education, science, research, cultural affairs",,1.33
2016,"proportions of positions of women in the public service compared to the national distribution, by field of work","education, science, research, cultural affairs",,1.34
2017,"proportions of positions of women in the public service compared to the national distribution, by field of work","education, science, research, cultural affairs",,1.35
2018,"proportions of positions of women in the public service compared to the national distribution, by field of work","education, science, research, cultural affairs",,1.35
2019,"proportions of positions of women in the public service compared to the national distribution, by field of work","education, science, research, cultural affairs",,1.35
2010,"proportions of positions of women in the public service compared to the national distribution, by field of work","health, environment, sports and recreation",,1.24
2011,"proportions of positions of women in the public service compared to the national distribution, by field of work","health, environment, sports and recreation",,1.24
2012,"proportions of positions of women in the public service compared to the national distribution, by field of work","health, environment, sports and recreation",,1.23
2013,"proportions of positions of women in the public service compared to the national distribution, by field of work","health, environment, sports and recreation",,1.22
2014,"proportions of positions of women in the public service compared to the national distribution, by field of work","health, environment, sports and recreation",,1.25
2015,"proportions of positions of women in the public service compared to the national distribution, by field of work","health, environment, sports and recreation",,1.25
2016,"proportions of positions of women in the public service compared to the national distribution, by field of work","health, environment, sports and recreation",,1.26
2017,"proportions of positions of women in the public service compared to the national distribution, by field of work","health, environment, sports and recreation",,1.15
2018,"proportions of positions of women in the public service compared to the national distribution, by field of work","health, environment, sports and recreation",,1.23
2019,"proportions of positions of women in the public service compared to the national distribution, by field of work","health, environment, sports and recreation",,1.24
2010,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,,0.84
2011,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,,0.85
2012,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,,0.87
2013,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,,0.88
2014,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,,0.89
2015,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,,0.93
2016,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,,0.95
2017,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,,0.97
2018,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,,0.98
2019,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,,1.0
2010,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,supreme/constitutional courts,0.5
2011,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,supreme/constitutional courts,0.5
2012,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,supreme/constitutional courts,0.55
2013,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,supreme/constitutional courts,0.52
2014,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,supreme/constitutional courts,0.58
2015,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,supreme/constitutional courts,0.58
2016,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,supreme/constitutional courts,0.68
2017,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,supreme/constitutional courts,0.68
2018,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,supreme/constitutional courts,0.74
2019,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,supreme/constitutional courts,0.74
2010,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,higher-level courts,0.64
2011,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,higher-level courts,0.66
2012,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,higher-level courts,0.67
2013,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,higher-level courts,0.68
2014,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,higher-level courts,0.7
2015,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,higher-level courts,0.73
2016,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,higher-level courts,0.76
2017,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,higher-level courts,0.79
2018,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,higher-level courts,0.8
2019,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,higher-level courts,0.81
2010,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,lower-level courts,0.89
2011,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,lower-level courts,0.9
2012,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,lower-level courts,0.92
2013,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,lower-level courts,0.93
2014,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,lower-level courts,0.94
2015,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,lower-level courts,0.98
2016,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,lower-level courts,1.0
2017,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,lower-level courts,1.02
2018,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,lower-level courts,1.02
2019,"ratio of proportion of women in the judiciary to proportion of women in the total population, by level of court",,lower-level courts,1.04
