Year,Units,Type of disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2015,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2964.0
2016,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2730.0
2017,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2828.0
2018,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2917.0
2019,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2157.0
2020,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1762.0
2021,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1915.0
2022,Attributable deaths,Chronic obstructive pulmonary disease (COPD),,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1888.0
2023,Attributable deaths,Chronic obstructive pulmonary disease (COPD),,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1414.0
2010,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,5722.0
2011,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,5571.0
2012,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4347.0
2013,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4799.0
2014,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4738.0
2015,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4183.0
2016,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4086.0
2017,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3816.0
2018,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3954.0
2019,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2558.0
2020,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2248.0
2021,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2504.0
2022,Attributable deaths,Lung cancer,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2209.0
2023,Attributable deaths,Lung cancer,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1587.0
2010,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3971.0
2011,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3743.0
2012,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2953.0
2013,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3224.0
2014,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3091.0
2015,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2820.0
2016,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2766.0
2017,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2578.0
2018,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2695.0
2019,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2045.0
2020,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1791.0
2021,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1840.0
2022,Attributable deaths,Stroke,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1777.0
2023,Attributable deaths,Stroke,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1312.0
2010,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,20954.0
2011,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,19059.0
2012,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,15135.0
2013,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,16453.0
2014,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,15225.0
2015,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,14205.0
2016,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,13053.0
2017,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,12653.0
2018,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,13080.0
2019,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,9607.0
2020,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,8687.0
2021,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,9628.0
2022,Attributable deaths,Ischemic heart diseases,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,8771.0
2023,Attributable deaths,Ischemic heart diseases,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,6104.0
2010,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3461.0
2011,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3418.0
2012,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2937.0
2013,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3158.0
2014,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2921.0
2015,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2873.0
2016,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2627.0
2017,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2728.0
2018,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2798.0
2019,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2130.0
2020,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2073.0
2021,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2299.0
2022,Attributable deaths,Diabetes mellitus type 2,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1886.0
2023,Attributable deaths,Diabetes mellitus type 2,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1329.0
2010,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,569664.0
2011,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,530867.0
2012,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,420885.0
2013,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,463638.0
2014,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,441793.0
2015,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,407680.0
2016,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,385002.0
2017,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,370220.0
2018,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,395679.0
2019,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,292504.0
2020,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,259962.0
2021,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,284414.0
2022,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,252864.0
2023,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,184165.0
2010,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,66424.0
2011,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,63077.0
2012,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,47972.0
2013,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,56426.0
2014,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,53325.0
2015,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,51205.0
2016,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,48305.0
2017,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,48406.0
2018,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,51739.0
2019,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,38537.0
2020,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,32168.0
2021,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,35278.0
2022,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,33261.0
2023,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,24924.0
2010,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,94139.0
2011,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,91468.0
2012,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,71168.0
2013,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,78925.0
2014,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,77413.0
2015,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,68534.0
2016,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,66403.0
2017,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,61698.0
2018,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,64046.0
2019,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,43246.0
2020,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,37771.0
2021,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,41526.0
2022,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,36083.0
2023,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,26021.0
2010,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,66616.0
2011,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,62435.0
2012,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,48512.0
2013,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,52989.0
2014,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,51339.0
2015,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,46528.0
2016,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,45160.0
2017,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,42271.0
2018,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,47695.0
2019,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,36242.0
2020,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,31966.0
2021,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,34077.0
2022,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,31025.0
2023,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,22952.0
2010,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,245246.0
2011,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,220119.0
2012,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,174295.0
2013,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,189410.0
2014,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,176540.0
2015,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,163375.0
2016,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,150936.0
2017,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,144459.0
2018,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,151706.0
2019,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,111394.0
2020,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,100090.0
2021,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,109710.0
2022,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,97540.0
2023,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,69579.0
2010,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,97239.0
2011,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,93768.0
2012,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,78938.0
2013,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,85888.0
2014,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,83176.0
2015,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,78038.0
2016,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,74198.0
2017,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,73386.0
2018,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,80493.0
2019,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,63085.0
2020,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,57967.0
2021,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,63823.0
2022,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,54955.0
2023,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,40689.0
2010,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,107.9
2011,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,104.2
2012,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,78.8
2013,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,92.1
2014,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,86.5
2015,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,82.3
2016,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,77.1
2017,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,77.0
2018,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,82.1
2019,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,61.0
2020,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,50.9
2021,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,55.8
2022,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,52.9
2023,"DALYs per 100,000 inhabitants",Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,39.3
