Year,Units,Age group,Sex,Form of exploitation,Value
2015,Number,,Male,Labour exploitation,44.0
2016,Number,,Male,Labour exploitation,34.0
2017,Number,,Male,Labour exploitation,154.0
2018,Number,,Male,Labour exploitation,54.0
2019,Number,,Male,Labour exploitation,24.0
2020,Number,,Male,Labour exploitation,55.0
2021,Number,,Male,Labour exploitation,74.0
2022,Number,,Male,Labour exploitation,747.0
2010,Number,,Unknown,Labour exploitation,
2011,Number,,Unknown,Labour exploitation,
2012,Number,,Unknown,Labour exploitation,2.0
2013,Number,,Unknown,Labour exploitation,1.0
2014,Number,,Unknown,Labour exploitation,0.0
2015,Number,,Unknown,Labour exploitation,2.0
2016,Number,,Unknown,Labour exploitation,1.0
2017,Number,,Unknown,Labour exploitation,1.0
2018,Number,,Unknown,Labour exploitation,1.0
2019,Number,,Unknown,Labour exploitation,0.0
2020,Number,,Unknown,Labour exploitation,0.0
2021,Number,,Unknown,Labour exploitation,1.0
2022,Number,,Unknown,Labour exploitation,6.0
2010,Number,,Female,Sexual exploitation,588.0
2011,Number,,Female,Sexual exploitation,599.0
2012,Number,,Female,Sexual exploitation,590.0
2013,Number,,Female,Sexual exploitation,518.0
2014,Number,,Female,Sexual exploitation,531.0
2015,Number,,Female,Sexual exploitation,399.0
2016,Number,,Female,Sexual exploitation,466.0
2017,Number,,Female,Sexual exploitation,484.0
2018,Number,,Female,Sexual exploitation,413.0
2019,Number,,Female,Sexual exploitation,405.0
2020,Number,,Female,Sexual exploitation,381.0
2021,Number,,Female,Sexual exploitation,387.0
2022,Number,,Female,Sexual exploitation,453.0
2010,Number,,Male,Sexual exploitation,17.0
2011,Number,,Male,Sexual exploitation,34.0
2012,Number,,Male,Sexual exploitation,19.0
2013,Number,,Male,Sexual exploitation,23.0
2014,Number,,Male,Sexual exploitation,26.0
2015,Number,,Male,Sexual exploitation,11.0
2016,Number,,Male,Sexual exploitation,17.0
2017,Number,,Male,Sexual exploitation,4.0
2018,Number,,Male,Sexual exploitation,14.0
2019,Number,,Male,Sexual exploitation,22.0
2020,Number,,Male,Sexual exploitation,23.0
2021,Number,,Male,Sexual exploitation,23.0
2022,Number,,Male,Sexual exploitation,16.0
2010,Number,,Unknown,Sexual exploitation,5.0
2011,Number,,Unknown,Sexual exploitation,6.0
2012,Number,,Unknown,Sexual exploitation,3.0
2013,Number,,Unknown,Sexual exploitation,1.0
2014,Number,,Unknown,Sexual exploitation,0.0
2015,Number,,Unknown,Sexual exploitation,6.0
2016,Number,,Unknown,Sexual exploitation,5.0
2017,Number,,Unknown,Sexual exploitation,1.0
2018,Number,,Unknown,Sexual exploitation,3.0
2019,Number,,Unknown,Sexual exploitation,0.0
2020,Number,,Unknown,Sexual exploitation,2.0
2021,Number,,Unknown,Sexual exploitation,7.0
2022,Number,,Unknown,Sexual exploitation,7.0
