Year,Units,purpose,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,"Million USD, constant prices (2024)",Scholarships,commitments,,,,91.37
2021,"Million USD, constant prices (2024)",Scholarships,commitments,,,,57.34
2022,"Million USD, constant prices (2024)",Scholarships,commitments,,,,34.11
2023,"Million USD, constant prices (2024)",Scholarships,commitments,,,,19.77
2024,"Million USD, constant prices (2024)",Scholarships,commitments,,,,19.05
2010,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,1027.28
2011,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,1007.94
2012,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,1031.44
2013,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,982.49
2014,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,1063.47
2015,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,1194.58
2016,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,1262.1
2017,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,1373.05
2018,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,1513.12
2019,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,1744.27
2020,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,1935.96
2021,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,2113.49
2022,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,2117.23
2023,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,2208.52
2024,"Million USD, constant prices (2024)",Imputed student costs,commitments,,,,2375.7
2010,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,199.78
2011,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,182.99
2012,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,169.1
2013,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,140.74
2014,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,82.32
2015,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,116.65
2016,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,104.19
2017,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,93.9
2018,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,89.08
2019,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,87.26
2020,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,93.85
2021,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,52.99
2022,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,25.16
2023,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,18.01
2024,"Million USD, constant prices (2024)",Scholarships,gross disbursements,,,,20.12
2010,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,1027.28
2011,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,1007.94
2012,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,1031.44
2013,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,982.49
2014,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,1063.47
2015,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,1194.58
2016,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,1262.1
2017,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,1373.05
2018,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,1513.12
2019,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,1744.27
2020,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,1935.96
2021,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,2113.49
2022,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,2117.23
2023,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,2208.52
2024,"Million USD, constant prices (2024)",Imputed student costs,gross disbursements,,,,2375.7
