Year,Units,Time series,Fields of work,Level of court,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,52.4
2019,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,52.6
2020,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,52.9
2021,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,53.6
2022,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,53.6
2023,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,53.4
2024,Percentage,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2025,Percentage,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2010,Percentage,Public service,Police,,,,,22.7
2011,Percentage,Public service,Police,,,,,22.4
2012,Percentage,Public service,Police,,,,,22.9
2013,Percentage,Public service,Police,,,,,23.3
2014,Percentage,Public service,Police,,,,,23.7
2015,Percentage,Public service,Police,,,,,24.2
2016,Percentage,Public service,Police,,,,,24.8
2017,Percentage,Public service,Police,,,,,25.6
2018,Percentage,Public service,Police,,,,,26.5
2019,Percentage,Public service,Police,,,,,27.4
2020,Percentage,Public service,Police,,,,,28.4
2021,Percentage,Public service,Police,,,,,29.4
2022,Percentage,Public service,Police,,r,,,30.2
2023,Percentage,Public service,Police,,,,,31.2
2024,Percentage,Public service,Police,,…,,,
2025,Percentage,Public service,Police,,…,,,
2010,Percentage,Public service,"Education, science, research, cultural affairs",,,,,60.6
2011,Percentage,Public service,"Education, science, research, cultural affairs",,,,,61.0
2012,Percentage,Public service,"Education, science, research, cultural affairs",,,,,61.4
2013,Percentage,Public service,"Education, science, research, cultural affairs",,,,,61.7
2014,Percentage,Public service,"Education, science, research, cultural affairs",,,,,61.9
2015,Percentage,Public service,"Education, science, research, cultural affairs",,,,,62.2
2016,Percentage,Public service,"Education, science, research, cultural affairs",,,,,62.5
2017,Percentage,Public service,"Education, science, research, cultural affairs",,,,,62.7
2018,Percentage,Public service,"Education, science, research, cultural affairs",,,,,62.8
2019,Percentage,Public service,"Education, science, research, cultural affairs",,,,,63.0
2020,Percentage,Public service,"Education, science, research, cultural affairs",,,,,63.1
2021,Percentage,Public service,"Education, science, research, cultural affairs",,,,,63.2
2022,Percentage,Public service,"Education, science, research, cultural affairs",,,,,63.1
2023,Percentage,Public service,"Education, science, research, cultural affairs",,,,,63.3
2024,Percentage,Public service,"Education, science, research, cultural affairs",,…,,,
2025,Percentage,Public service,"Education, science, research, cultural affairs",,…,,,
2010,Percentage,Public service,"Health, environment, sports and recreation",,,,,57.0
2011,Percentage,Public service,"Health, environment, sports and recreation",,,,,57.4
2012,Percentage,Public service,"Health, environment, sports and recreation",,,,,57.0
2013,Percentage,Public service,"Health, environment, sports and recreation",,,,,56.9
2014,Percentage,Public service,"Health, environment, sports and recreation",,,,,58.1
2015,Percentage,Public service,"Health, environment, sports and recreation",,,,,58.4
2016,Percentage,Public service,"Health, environment, sports and recreation",,,,,58.6
2017,Percentage,Public service,"Health, environment, sports and recreation",,,,,57.9
2018,Percentage,Public service,"Health, environment, sports and recreation",,,,,57.3
2019,Percentage,Public service,"Health, environment, sports and recreation",,,,,57.9
2020,Percentage,Public service,"Health, environment, sports and recreation",,,,,58.6
2021,Percentage,Public service,"Health, environment, sports and recreation",,,,,59.4
2022,Percentage,Public service,"Health, environment, sports and recreation",,,,,59.4
2023,Percentage,Public service,"Health, environment, sports and recreation",,,,,59.3
2024,Percentage,Public service,"Health, environment, sports and recreation",,,,,
2025,Percentage,Public service,"Health, environment, sports and recreation",,,,,
2010,Percentage,Judiciary,,,,,,38.5
2011,Percentage,Judiciary,,,,,,39.3
2012,Percentage,Judiciary,,,,,,40.2
2013,Percentage,Judiciary,,,,,,41.1
2014,Percentage,Judiciary,,,,,,41.4
2015,Percentage,Judiciary,,,,,,43.4
2016,Percentage,Judiciary,,,,,,44.5
2017,Percentage,Judiciary,,,,,,45.4
2018,Percentage,Judiciary,,,,,,45.7
2019,Percentage,Judiciary,,,,,,46.5
2020,Percentage,Judiciary,,,,,,47.5
2021,Percentage,Judiciary,,,,,,48.4
2022,Percentage,Judiciary,,,,,,49.1
2023,Percentage,Judiciary,,,,,,49.9
2024,Percentage,Judiciary,,,,,,
2025,Percentage,Judiciary,,,,,,
2010,Percentage,Judiciary,,Supreme/Constitutional courts,,,,23.0
2011,Percentage,Judiciary,,Supreme/Constitutional courts,,,,23.0
2012,Percentage,Judiciary,,Supreme/Constitutional courts,,,,25.5
2013,Percentage,Judiciary,,Supreme/Constitutional courts,,,,24.3
2014,Percentage,Judiciary,,Supreme/Constitutional courts,,,,27.2
2015,Percentage,Judiciary,,Supreme/Constitutional courts,,,,27.2
2016,Percentage,Judiciary,,Supreme/Constitutional courts,,,,31.7
2017,Percentage,Judiciary,,Supreme/Constitutional courts,,,,31.7
2018,Percentage,Judiciary,,Supreme/Constitutional courts,,,,34.6
2019,Percentage,Judiciary,,Supreme/Constitutional courts,,,,34.6
2020,Percentage,Judiciary,,Supreme/Constitutional courts,,,,39.0
2021,Percentage,Judiciary,,Supreme/Constitutional courts,,,,39.0
2022,Percentage,Judiciary,,Supreme/Constitutional courts,,,,39.4
2023,Percentage,Judiciary,,Supreme/Constitutional courts,,,,39.4
2024,Percentage,Judiciary,,Supreme/Constitutional courts,,,,
2025,Percentage,Judiciary,,Supreme/Constitutional courts,,,,
2010,Percentage,Judiciary,,Higher-level courts,,,,29.3
2011,Percentage,Judiciary,,Higher-level courts,,,,30.5
2012,Percentage,Judiciary,,Higher-level courts,,,,31.1
2013,Percentage,Judiciary,,Higher-level courts,,,,31.7
2014,Percentage,Judiciary,,Higher-level courts,,,,32.5
2015,Percentage,Judiciary,,Higher-level courts,,,,34.1
2016,Percentage,Judiciary,,Higher-level courts,,,,35.3
2017,Percentage,Judiciary,,Higher-level courts,,,,36.6
2018,Percentage,Judiciary,,Higher-level courts,,,,37.1
2019,Percentage,Judiciary,,Higher-level courts,,,,37.8
2020,Percentage,Judiciary,,Higher-level courts,,,,39.0
2021,Percentage,Judiciary,,Higher-level courts,,,,40.2
2022,Percentage,Judiciary,,Higher-level courts,,,,41.1
2023,Percentage,Judiciary,,Higher-level courts,,,,42.4
2024,Percentage,Judiciary,,Higher-level courts,,,,
2025,Percentage,Judiciary,,Higher-level courts,,,,
2010,Percentage,Judiciary,,Lower-level courts,,,,40.7
2011,Percentage,Judiciary,,Lower-level courts,,,,41.5
2012,Percentage,Judiciary,,Lower-level courts,,,,42.4
2013,Percentage,Judiciary,,Lower-level courts,,,,43.5
2014,Percentage,Judiciary,,Lower-level courts,,,,43.6
2015,Percentage,Judiciary,,Lower-level courts,,,,45.7
2016,Percentage,Judiciary,,Lower-level courts,,,,46.7
2017,Percentage,Judiciary,,Lower-level courts,,,,47.5
2018,Percentage,Judiciary,,Lower-level courts,,,,47.7
2019,Percentage,Judiciary,,Lower-level courts,,,,48.5
2020,Percentage,Judiciary,,Lower-level courts,,,,49.4
2021,Percentage,Judiciary,,Lower-level courts,,,,50.3
2022,Percentage,Judiciary,,Lower-level courts,,,,51.0
2023,Percentage,Judiciary,,Lower-level courts,,,,51.7
2024,Percentage,Judiciary,,Lower-level courts,…,,,
2025,Percentage,Judiciary,,Lower-level courts,…,,,
2010,No unit,German Bundestag (lower chamber),,,,,,0.66
2011,No unit,German Bundestag (lower chamber),,,,,,0.67
2012,No unit,German Bundestag (lower chamber),,,,,,0.66
2013,No unit,German Bundestag (lower chamber),,,,,,0.66
2014,No unit,German Bundestag (lower chamber),,,,,,0.73
2015,No unit,German Bundestag (lower chamber),,,,,,0.73
2016,No unit,German Bundestag (lower chamber),,,,,,0.75
2017,No unit,German Bundestag (lower chamber),,,,,,0.75
2018,No unit,German Bundestag (lower chamber),,,,,,0.63
2019,No unit,German Bundestag (lower chamber),,,,,,0.63
2020,No unit,German Bundestag (lower chamber),,,,,,0.63
2021,No unit,German Bundestag (lower chamber),,,,,,0.64
2022,No unit,German Bundestag (lower chamber),,,,,,0.71
2023,No unit,German Bundestag (lower chamber),,,,,,0.71
2024,No unit,German Bundestag (lower chamber),,,,,,0.71
2025,No unit,German Bundestag (lower chamber),,,…,,,
2010,No unit,Bundesrat (upper chamber),,,,,,0.38
2011,No unit,Bundesrat (upper chamber),,,,,,0.5
2012,No unit,Bundesrat (upper chamber),,,,,,0.55
2013,No unit,Bundesrat (upper chamber),,,,,,0.58
2014,No unit,Bundesrat (upper chamber),,,,,,0.7
2015,No unit,Bundesrat (upper chamber),,,,,,0.82
2016,No unit,Bundesrat (upper chamber),,,,,,0.76
2017,No unit,Bundesrat (upper chamber),,,,,,0.79
2018,No unit,Bundesrat (upper chamber),,,,,,0.79
2019,No unit,Bundesrat (upper chamber),,,,,,0.73
2020,No unit,Bundesrat (upper chamber),,,,,,0.7
2021,No unit,Bundesrat (upper chamber),,,,,,0.68
2022,No unit,Bundesrat (upper chamber),,,,,,0.65
2023,No unit,Bundesrat (upper chamber),,,,,,0.76
2024,No unit,Bundesrat (upper chamber),,,,,,0.76
2025,No unit,Bundesrat (upper chamber),,,…,,,
2010,No unit,Public service,,,,,,1.02
2011,No unit,Public service,,,,,,1.01
2012,No unit,Public service,,,,,,1.02
2013,No unit,Public service,,,,,,1.03
2014,No unit,Public service,,,,,,1.04
2015,No unit,Public service,,,,,,1.05
2016,No unit,Public service,,,,,,1.06
2017,No unit,Public service,,,,,,1.07
2018,No unit,Public service,,,,,,1.07
2019,No unit,Public service,,,,,,1.08
2020,No unit,Public service,,,,,,1.09
2021,No unit,Public service,,,,,,1.1
2022,No unit,Public service,,,,,,1.1
2023,No unit,Public service,,,p,,,1.05
2024,No unit,Public service,,,…,,,
2025,No unit,Public service,,,…,,,
2010,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,0.99
2011,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,0.99
2012,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.0
2013,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.01
2014,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.02
2015,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.03
2016,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.05
2017,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.06
2018,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.06
2019,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.07
2020,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.07
2021,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.09
2022,No unit,Public service,"Political leadership and central administration, foreign affairs",,,,,1.08
2023,No unit,Public service,"Political leadership and central administration, foreign affairs",,p,,,1.08
2024,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2025,No unit,Public service,"Political leadership and central administration, foreign affairs",,…,,,
2010,No unit,Public service,Police,,,,,0.46
2011,No unit,Public service,Police,,,,,0.45
2012,No unit,Public service,Police,,,,,0.46
2013,No unit,Public service,Police,,,,,0.47
2014,No unit,Public service,Police,,,,,0.48
2015,No unit,Public service,Police,,,,,0.49
2016,No unit,Public service,Police,,,,,0.5
2017,No unit,Public service,Police,,,,,0.52
2018,No unit,Public service,Police,,,,,0.54
2019,No unit,Public service,Police,,,,,0.56
2020,No unit,Public service,Police,,,,,0.58
2021,No unit,Public service,Police,,,,,0.59
2022,No unit,Public service,Police,,r,,,0.61
2023,No unit,Public service,Police,,p,,,0.63
2024,No unit,Public service,Police,,…,,,
2025,No unit,Public service,Police,,…,,,
2010,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.22
2011,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.22
2012,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.23
2013,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.24
2014,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.25
2015,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.26
2016,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.27
2017,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.27
2018,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.27
2019,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.28
2020,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.28
2021,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.28
2022,No unit,Public service,"Education, science, research, cultural affairs",,,,,1.27
2023,No unit,Public service,"Education, science, research, cultural affairs",,p,,,1.28
2024,No unit,Public service,"Education, science, research, cultural affairs",,…,,,
2025,No unit,Public service,"Education, science, research, cultural affairs",,…,,,
2010,No unit,Public service,"Health, environment, sports and recreation",,,,,1.15
2011,No unit,Public service,"Health, environment, sports and recreation",,,,,1.15
2012,No unit,Public service,"Health, environment, sports and recreation",,,,,1.15
2013,No unit,Public service,"Health, environment, sports and recreation",,,,,1.15
2014,No unit,Public service,"Health, environment, sports and recreation",,,,,1.17
2015,No unit,Public service,"Health, environment, sports and recreation",,,,,1.18
2016,No unit,Public service,"Health, environment, sports and recreation",,,,,1.19
2017,No unit,Public service,"Health, environment, sports and recreation",,,,,1.09
2018,No unit,Public service,"Health, environment, sports and recreation",,,,,1.16
2019,No unit,Public service,"Health, environment, sports and recreation",,,,,1.17
2020,No unit,Public service,"Health, environment, sports and recreation",,,,,1.19
2021,No unit,Public service,"Health, environment, sports and recreation",,,,,1.2
2022,No unit,Public service,"Health, environment, sports and recreation",,,,,1.2
2023,No unit,Public service,"Health, environment, sports and recreation",,p,,,1.2
2024,No unit,Public service,"Health, environment, sports and recreation",,…,,,
2025,No unit,Public service,"Health, environment, sports and recreation",,…,,,
2010,No unit,Judiciary,,,,,,0.78
2011,No unit,Judiciary,,,,,,0.79
2012,No unit,Judiciary,,,,,,0.81
2013,No unit,Judiciary,,,,,,0.83
2014,No unit,Judiciary,,,,,,0.83
2015,No unit,Judiciary,,,,,,0.88
2016,No unit,Judiciary,,,,,,0.9
2017,No unit,Judiciary,,,,,,0.92
2018,No unit,Judiciary,,,,,,0.93
2019,No unit,Judiciary,,,,,,0.94
2020,No unit,Judiciary,,,,,,0.96
2021,No unit,Judiciary,,,,,,0.98
2022,No unit,Judiciary,,,,,,0.99
2023,No unit,Judiciary,,,,,,1.01
2024,No unit,Judiciary,,,…,,,
2025,No unit,Judiciary,,,…,,,
2010,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.47
2011,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.46
2012,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.51
2013,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.49
2014,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.55
2015,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.55
2016,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.64
2017,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.64
2018,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.7
2019,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.7
2020,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.79
2021,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.79
2022,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.8
2023,No unit,Judiciary,,Supreme/Constitutional courts,,,,0.8
2024,No unit,Judiciary,,Supreme/Constitutional courts,…,,,
2025,No unit,Judiciary,,Supreme/Constitutional courts,…,,,
2010,No unit,Judiciary,,Higher-level courts,,,,0.59
2011,No unit,Judiciary,,Higher-level courts,,,,0.61
2012,No unit,Judiciary,,Higher-level courts,,,,0.63
2013,No unit,Judiciary,,Higher-level courts,,,,0.64
2014,No unit,Judiciary,,Higher-level courts,,,,0.66
2015,No unit,Judiciary,,Higher-level courts,,,,0.69
2016,No unit,Judiciary,,Higher-level courts,,,,0.71
2017,No unit,Judiciary,,Higher-level courts,,,,0.74
2018,No unit,Judiciary,,Higher-level courts,,,,0.75
2019,No unit,Judiciary,,Higher-level courts,,,,0.77
2020,No unit,Judiciary,,Higher-level courts,,,,0.79
2021,No unit,Judiciary,,Higher-level courts,,,,0.81
2022,No unit,Judiciary,,Higher-level courts,,,,0.83
2023,No unit,Judiciary,,Higher-level courts,,,,0.86
2024,No unit,Judiciary,,Higher-level courts,…,,,
2025,No unit,Judiciary,,Higher-level courts,…,,,
2010,No unit,Judiciary,,Lower-level courts,,,,0.82
2011,No unit,Judiciary,,Lower-level courts,,,,0.83
2012,No unit,Judiciary,,Lower-level courts,,,,0.85
2013,No unit,Judiciary,,Lower-level courts,,,,0.88
2014,No unit,Judiciary,,Lower-level courts,,,,0.88
2015,No unit,Judiciary,,Lower-level courts,,,,0.93
2016,No unit,Judiciary,,Lower-level courts,,,,0.94
2017,No unit,Judiciary,,Lower-level courts,,,,0.96
2018,No unit,Judiciary,,Lower-level courts,,,,0.97
2019,No unit,Judiciary,,Lower-level courts,,,,0.98
2020,No unit,Judiciary,,Lower-level courts,,,,1.0
2021,No unit,Judiciary,,Lower-level courts,,,,1.02
2022,No unit,Judiciary,,Lower-level courts,,,,1.03
2023,No unit,Judiciary,,Lower-level courts,,,,1.05
2024,No unit,Judiciary,,Lower-level courts,…,,,
2025,No unit,Judiciary,,Lower-level courts,…,,,
