Year,Units,Sex,Age group,Value
2011,Number,,21 to under 60 years,424.0
2012,Number,,21 to under 60 years,359.0
2013,Number,,21 to under 60 years,377.0
2014,Number,,21 to under 60 years,405.0
2015,Number,,21 to under 60 years,343.0
2016,Number,,21 to under 60 years,527.0
2017,Number,,21 to under 60 years,414.0
2018,Number,,21 to under 60 years,445.0
2019,Number,,21 to under 60 years,349.0
2020,Number,,21 to under 60 years,378.0
2010,Number,,60 years and older,208.0
2011,Number,,60 years and older,185.0
2012,Number,,60 years and older,181.0
2013,Number,,60 years and older,212.0
2014,Number,,60 years and older,213.0
2015,Number,,60 years and older,245.0
2016,Number,,60 years and older,290.0
2017,Number,,60 years and older,312.0
2018,Number,,60 years and older,233.0
2019,Number,,60 years and older,201.0
2020,Number,,60 years and older,292.0
2010,Number,Female,13 years and younger,
2011,Number,Female,13 years and younger,
2012,Number,Female,13 years and younger,39.0
2013,Number,Female,13 years and younger,37.0
2014,Number,Female,13 years and younger,24.0
2015,Number,Female,13 years and younger,25.0
2016,Number,Female,13 years and younger,30.0
2017,Number,Female,13 years and younger,28.0
2018,Number,Female,13 years and younger,30.0
2019,Number,Female,13 years and younger,17.0
2020,Number,Female,13 years and younger,43.0
2010,Number,Male,13 years and younger,
2011,Number,Male,13 years and younger,
2012,Number,Male,13 years and younger,51.0
2013,Number,Male,13 years and younger,29.0
2014,Number,Male,13 years and younger,39.0
2015,Number,Male,13 years and younger,37.0
2016,Number,Male,13 years and younger,38.0
2017,Number,Male,13 years and younger,39.0
2018,Number,Male,13 years and younger,40.0
2019,Number,Male,13 years and younger,29.0
2020,Number,Male,13 years and younger,36.0
2010,Number,Female,14 to under 18 years,
2011,Number,Female,14 to under 18 years,
2012,Number,Female,14 to under 18 years,0.0
2013,Number,Female,14 to under 18 years,4.0
2014,Number,Female,14 to under 18 years,5.0
2015,Number,Female,14 to under 18 years,9.0
2016,Number,Female,14 to under 18 years,22.0
2017,Number,Female,14 to under 18 years,1.0
2018,Number,Female,14 to under 18 years,8.0
2019,Number,Female,14 to under 18 years,4.0
2020,Number,Female,14 to under 18 years,4.0
2010,Number,Male,14 to under 18 years,
2011,Number,Male,14 to under 18 years,
2012,Number,Male,14 to under 18 years,6.0
2013,Number,Male,14 to under 18 years,8.0
2014,Number,Male,14 to under 18 years,10.0
2015,Number,Male,14 to under 18 years,5.0
2016,Number,Male,14 to under 18 years,13.0
2017,Number,Male,14 to under 18 years,3.0
2018,Number,Male,14 to under 18 years,6.0
2019,Number,Male,14 to under 18 years,7.0
2020,Number,Male,14 to under 18 years,8.0
2010,Number,Female,18 to under 21 years,
2011,Number,Female,18 to under 21 years,
2012,Number,Female,18 to under 21 years,10.0
2013,Number,Female,18 to under 21 years,6.0
2014,Number,Female,18 to under 21 years,9.0
2015,Number,Female,18 to under 21 years,9.0
2016,Number,Female,18 to under 21 years,18.0
2017,Number,Female,18 to under 21 years,7.0
2018,Number,Female,18 to under 21 years,12.0
2019,Number,Female,18 to under 21 years,5.0
2020,Number,Female,18 to under 21 years,6.0
2010,Number,Male,18 to under 21 years,
2011,Number,Male,18 to under 21 years,
2012,Number,Male,18 to under 21 years,13.0
2013,Number,Male,18 to under 21 years,9.0
2014,Number,Male,18 to under 21 years,11.0
2015,Number,Male,18 to under 21 years,9.0
2016,Number,Male,18 to under 21 years,25.0
2017,Number,Male,18 to under 21 years,9.0
2018,Number,Male,18 to under 21 years,14.0
2019,Number,Male,18 to under 21 years,11.0
2020,Number,Male,18 to under 21 years,15.0
2010,Number,Female,21 to under 60 years,
2011,Number,Female,21 to under 60 years,
2012,Number,Female,21 to under 60 years,139.0
2013,Number,Female,21 to under 60 years,159.0
2014,Number,Female,21 to under 60 years,180.0
2015,Number,Female,21 to under 60 years,141.0
2016,Number,Female,21 to under 60 years,236.0
2017,Number,Female,21 to under 60 years,176.0
2018,Number,Female,21 to under 60 years,184.0
2019,Number,Female,21 to under 60 years,144.0
2020,Number,Female,21 to under 60 years,142.0
2010,Number,Male,21 to under 60 years,
2011,Number,Male,21 to under 60 years,
2012,Number,Male,21 to under 60 years,220.0
2013,Number,Male,21 to under 60 years,218.0
2014,Number,Male,21 to under 60 years,225.0
2015,Number,Male,21 to under 60 years,202.0
2016,Number,Male,21 to under 60 years,291.0
2017,Number,Male,21 to under 60 years,238.0
2018,Number,Male,21 to under 60 years,261.0
2019,Number,Male,21 to under 60 years,205.0
2020,Number,Male,21 to under 60 years,236.0
2010,Number,Female,60 years and older,
2011,Number,Female,60 years and older,
2012,Number,Female,60 years and older,108.0
2013,Number,Female,60 years and older,122.0
2014,Number,Female,60 years and older,121.0
2015,Number,Female,60 years and older,143.0
2016,Number,Female,60 years and older,163.0
2017,Number,Female,60 years and older,168.0
2018,Number,Female,60 years and older,133.0
2019,Number,Female,60 years and older,106.0
2020,Number,Female,60 years and older,162.0
2010,Number,Male,60 years and older,
2011,Number,Male,60 years and older,
2012,Number,Male,60 years and older,73.0
2013,Number,Male,60 years and older,90.0
2014,Number,Male,60 years and older,92.0
2015,Number,Male,60 years and older,102.0
2016,Number,Male,60 years and older,127.0
2017,Number,Male,60 years and older,144.0
2018,Number,Male,60 years and older,100.0
2019,Number,Male,60 years and older,95.0
2020,Number,Male,60 years and older,130.0
