Year,Units,Type of biomass,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2011,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,1084.6
2012,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,1093.7
2013,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,1103.1
2014,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,890.0
2015,Million tonnes carbon,Standig wood,r,,,Above-ground biomass stock in forest,894.6
2016,Million tonnes carbon,Standig wood,r,,,Above-ground biomass stock in forest,899.8
2017,Million tonnes carbon,Standig wood,r,,,Above-ground biomass stock in forest,904.5
2018,Million tonnes carbon,Standig wood,r,,,Above-ground biomass stock in forest,907.6
2019,Million tonnes carbon,Standig wood,r,,,Above-ground biomass stock in forest,910.4
2020,Million tonnes carbon,Standig wood,r,,,Above-ground biomass stock in forest,911.7
2021,Million tonnes carbon,Standig wood,r,,,Above-ground biomass stock in forest,912.4
2022,Million tonnes carbon,Standig wood,,,,Above-ground biomass stock in forest,914.0
2010,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,252.2
2011,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,254.4
2012,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,256.6
2013,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,258.8
2014,Million tonnes carbon,Other woody biomass,r,,,Above-ground biomass stock in forest,492.6
2015,Million tonnes carbon,Other woody biomass,r,,,Above-ground biomass stock in forest,494.7
2016,Million tonnes carbon,Other woody biomass,r,,,Above-ground biomass stock in forest,497.2
2017,Million tonnes carbon,Other woody biomass,r,,,Above-ground biomass stock in forest,499.4
2018,Million tonnes carbon,Other woody biomass,r,,,Above-ground biomass stock in forest,500.6
2019,Million tonnes carbon,Other woody biomass,r,,,Above-ground biomass stock in forest,501.6
2020,Million tonnes carbon,Other woody biomass,r,,,Above-ground biomass stock in forest,501.7
2021,Million tonnes carbon,Other woody biomass,r,,,Above-ground biomass stock in forest,501.4
2022,Million tonnes carbon,Other woody biomass,,,,Above-ground biomass stock in forest,501.7
2010,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,243.8
2011,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,246.0
2012,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,248.0
2013,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,250.0
2014,Million tonnes carbon,Other biomass in forests,r,,,Above-ground biomass stock in forest,253.9
2015,Million tonnes carbon,Other biomass in forests,r,,,Above-ground biomass stock in forest,255.1
2016,Million tonnes carbon,Other biomass in forests,r,,,Above-ground biomass stock in forest,256.5
2017,Million tonnes carbon,Other biomass in forests,r,,,Above-ground biomass stock in forest,257.8
2018,Million tonnes carbon,Other biomass in forests,r,,,Above-ground biomass stock in forest,258.6
2019,Million tonnes carbon,Other biomass in forests,r,,,Above-ground biomass stock in forest,259.3
2020,Million tonnes carbon,Other biomass in forests,r,,,Above-ground biomass stock in forest,259.5
2021,Million tonnes carbon,Other biomass in forests,r,,,Above-ground biomass stock in forest,259.6
2022,Million tonnes carbon,Other biomass in forests,,,,Above-ground biomass stock in forest,260.0
