Year,Disease,Sex,Age group,Value
2018,c) Intestinal nematode infections,Male,,0.0
2019,c) Intestinal nematode infections,Male,,0.0
2020,c) Intestinal nematode infections,Male,,0.0
2021,c) Intestinal nematode infections,Male,,0.0
2022,c) Intestinal nematode infections,Male,,0.0
2010,d) Protein-energy malnutrition,Male,,0.22
2011,d) Protein-energy malnutrition,Male,,0.17
2012,d) Protein-energy malnutrition,Male,,0.15
2013,d) Protein-energy malnutrition,Male,,0.17
2014,d) Protein-energy malnutrition,Male,,0.23
2015,d) Protein-energy malnutrition,Male,,0.34
2016,d) Protein-energy malnutrition,Male,,0.29
2017,d) Protein-energy malnutrition,Male,,0.43
2018,d) Protein-energy malnutrition,Male,,0.5
2019,d) Protein-energy malnutrition,Male,,0.53
2020,d) Protein-energy malnutrition,Male,,0.54
2021,d) Protein-energy malnutrition,Male,,0.66
2022,d) Protein-energy malnutrition,Male,,0.69
2010,a) Acute respiratory infections,Female,,26.41
2011,a) Acute respiratory infections,Female,,25.68
2012,a) Acute respiratory infections,Female,,24.64
2013,a) Acute respiratory infections,Female,,26.43
2014,a) Acute respiratory infections,Female,,20.97
2015,a) Acute respiratory infections,Female,,26.2
2016,a) Acute respiratory infections,Female,,23.2
2017,a) Acute respiratory infections,Female,,26.06
2018,a) Acute respiratory infections,Female,,28.6
2019,a) Acute respiratory infections,Female,,24.03
2020,a) Acute respiratory infections,Female,,19.26
2021,a) Acute respiratory infections,Female,,15.26
2022,a) Acute respiratory infections,Female,,20.41
2010,b) Diarrhoea,Female,,4.5
2011,b) Diarrhoea,Female,,7.09
2012,b) Diarrhoea,Female,,8.53
2013,b) Diarrhoea,Female,,8.75
2014,b) Diarrhoea,Female,,7.87
2015,b) Diarrhoea,Female,,8.53
2016,b) Diarrhoea,Female,,7.0
2017,b) Diarrhoea,Female,,6.55
2018,b) Diarrhoea,Female,,6.15
2019,b) Diarrhoea,Female,,5.17
2020,b) Diarrhoea,Female,,4.45
2021,b) Diarrhoea,Female,,3.97
2022,b) Diarrhoea,Female,,4.35
2010,c) Intestinal nematode infections,Female,,0.0
2011,c) Intestinal nematode infections,Female,,0.0
2012,c) Intestinal nematode infections,Female,,0.0
2013,c) Intestinal nematode infections,Female,,0.0
2014,c) Intestinal nematode infections,Female,,0.0
2015,c) Intestinal nematode infections,Female,,0.0
2016,c) Intestinal nematode infections,Female,,0.0
2017,c) Intestinal nematode infections,Female,,0.0
2018,c) Intestinal nematode infections,Female,,0.0
2019,c) Intestinal nematode infections,Female,,0.0
2020,c) Intestinal nematode infections,Female,,0.0
2021,c) Intestinal nematode infections,Female,,0.0
2022,c) Intestinal nematode infections,Female,,0.0
2010,d) Protein-energy malnutrition,Female,,0.37
2011,d) Protein-energy malnutrition,Female,,0.4
2012,d) Protein-energy malnutrition,Female,,0.37
2013,d) Protein-energy malnutrition,Female,,0.47
2014,d) Protein-energy malnutrition,Female,,0.43
2015,d) Protein-energy malnutrition,Female,,0.75
2016,d) Protein-energy malnutrition,Female,,0.7
2017,d) Protein-energy malnutrition,Female,,0.98
2018,d) Protein-energy malnutrition,Female,,0.99
2019,d) Protein-energy malnutrition,Female,,1.1
2020,d) Protein-energy malnutrition,Female,,1.27
2021,d) Protein-energy malnutrition,Female,,1.38
2022,d) Protein-energy malnutrition,Female,,1.39
2010,a) Acute respiratory infections,,4 years and younger,0.77
2011,a) Acute respiratory infections,,4 years and younger,1.15
2012,a) Acute respiratory infections,,4 years and younger,0.83
2013,a) Acute respiratory infections,,4 years and younger,0.91
2014,a) Acute respiratory infections,,4 years and younger,0.9
2015,a) Acute respiratory infections,,4 years and younger,1.15
2016,a) Acute respiratory infections,,4 years and younger,0.84
2017,a) Acute respiratory infections,,4 years and younger,0.47
2018,a) Acute respiratory infections,,4 years and younger,0.85
2019,a) Acute respiratory infections,,4 years and younger,0.74
2020,a) Acute respiratory infections,,4 years and younger,0.58
2021,a) Acute respiratory infections,,4 years and younger,0.33
2022,a) Acute respiratory infections,,4 years and younger,0.45
2010,b) Diarrhoea,,4 years and younger,0.32
2011,b) Diarrhoea,,4 years and younger,0.15
2012,b) Diarrhoea,,4 years and younger,0.24
2013,b) Diarrhoea,,4 years and younger,0.35
2014,b) Diarrhoea,,4 years and younger,0.17
2015,b) Diarrhoea,,4 years and younger,0.23
2016,b) Diarrhoea,,4 years and younger,0.33
2017,b) Diarrhoea,,4 years and younger,0.26
2018,b) Diarrhoea,,4 years and younger,0.41
2019,b) Diarrhoea,,4 years and younger,0.15
2020,b) Diarrhoea,,4 years and younger,0.08
2021,b) Diarrhoea,,4 years and younger,0.25
2022,b) Diarrhoea,,4 years and younger,0.28
2010,c) Intestinal nematode infections,,4 years and younger,0.0
2011,c) Intestinal nematode infections,,4 years and younger,0.0
2012,c) Intestinal nematode infections,,4 years and younger,0.0
2013,c) Intestinal nematode infections,,4 years and younger,0.0
2014,c) Intestinal nematode infections,,4 years and younger,0.0
2015,c) Intestinal nematode infections,,4 years and younger,0.0
2016,c) Intestinal nematode infections,,4 years and younger,0.0
2017,c) Intestinal nematode infections,,4 years and younger,0.0
2018,c) Intestinal nematode infections,,4 years and younger,0.0
2019,c) Intestinal nematode infections,,4 years and younger,0.0
2020,c) Intestinal nematode infections,,4 years and younger,0.0
2021,c) Intestinal nematode infections,,4 years and younger,0.0
2022,c) Intestinal nematode infections,,4 years and younger,0.0
2010,d) Protein-energy malnutrition,,4 years and younger,0.03
2011,d) Protein-energy malnutrition,,4 years and younger,0.0
2012,d) Protein-energy malnutrition,,4 years and younger,0.0
2013,d) Protein-energy malnutrition,,4 years and younger,0.0
2014,d) Protein-energy malnutrition,,4 years and younger,0.0
2015,d) Protein-energy malnutrition,,4 years and younger,0.0
2016,d) Protein-energy malnutrition,,4 years and younger,0.0
2017,d) Protein-energy malnutrition,,4 years and younger,0.0
2018,d) Protein-energy malnutrition,,4 years and younger,0.0
2019,d) Protein-energy malnutrition,,4 years and younger,0.0
2020,d) Protein-energy malnutrition,,4 years and younger,0.0
2021,d) Protein-energy malnutrition,,4 years and younger,0.0
2022,d) Protein-energy malnutrition,,4 years and younger,0.03
