Year,Sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,"Food, agriculture and forestry",,,,82.4
2010,Financial services,.,,,
2011,Financial services,.,,,
2012,Financial services,.,,,
2013,Financial services,,,,98.6
2014,Financial services,,,,99.3
2015,Financial services,,,,116.8
2016,Financial services,,,,112.7
2017,Financial services,,,,132.1
2018,Financial services,,,,131.3
2019,Financial services,,,,136.9
2020,Financial services,,,,99.3
2021,Financial services,,,,122.6
2022,Financial services,,,,89.5
2023,Financial services,,,,114.9
2024,Financial services,,,,97.5
2010,"Health, environment, sport and recreation",.,,,
2011,"Health, environment, sport and recreation",.,,,
2012,"Health, environment, sport and recreation",,,,90.3
2013,"Health, environment, sport and recreation",,,,93.8
2014,"Health, environment, sport and recreation",,,,94.1
2015,"Health, environment, sport and recreation",,,,93.8
2016,"Health, environment, sport and recreation",,,,89.7
2017,"Health, environment, sport and recreation",,,,99.1
2018,"Health, environment, sport and recreation",,,,86.7
2019,"Health, environment, sport and recreation",,,,79.8
2020,"Health, environment, sport and recreation",,,,75.2
2021,"Health, environment, sport and recreation",,,,67.5
2022,"Health, environment, sport and recreation",,,,89.3
2023,"Health, environment, sport and recreation",,,,69.5
2024,"Health, environment, sport and recreation",,,,111.6
2010,"Social security, family and youth, labour market policy",.,,,
2011,"Social security, family and youth, labour market policy",.,,,
2012,"Social security, family and youth, labour market policy",.,,,
2013,"Social security, family and youth, labour market policy",,,,100.4
2014,"Social security, family and youth, labour market policy",,,,100.6
2015,"Social security, family and youth, labour market policy",,,,99.6
2016,"Social security, family and youth, labour market policy",,,,99.4
2017,"Social security, family and youth, labour market policy",,,,99.0
2018,"Social security, family and youth, labour market policy",,,,99.5
2019,"Social security, family and youth, labour market policy",,,,98.7
2020,"Social security, family and youth, labour market policy",,,,85.5
2021,"Social security, family and youth, labour market policy",,,,98.8
2022,"Social security, family and youth, labour market policy",,,,102.1
2023,"Social security, family and youth, labour market policy",,,,100.5
2024,"Social security, family and youth, labour market policy",,,,102.0
2010,Transport and communications,.,,,
2011,Transport and communications,.,,,
2012,Transport and communications,,,,97.8
2013,Transport and communications,,,,98.2
2014,Transport and communications,,,,97.4
2015,Transport and communications,,,,98.0
2016,Transport and communications,,,,97.0
2017,Transport and communications,,,,102.0
2018,Transport and communications,,,,103.8
2019,Transport and communications,,,,100.5
2020,Transport and communications,,,,79.4
2021,Transport and communications,,,,88.4
2022,Transport and communications,,,,97.5
2023,Transport and communications,,,,101.7
2024,Transport and communications,,,,102.3
2010,"Housing, urban development, regional planning and municipal community services",.,,,
2011,"Housing, urban development, regional planning and municipal community services",.,,,
2012,"Housing, urban development, regional planning and municipal community services",,,,101.1
2013,"Housing, urban development, regional planning and municipal community services",,,,99.5
2014,"Housing, urban development, regional planning and municipal community services",,,,91.7
2015,"Housing, urban development, regional planning and municipal community services",,,,91.3
2016,"Housing, urban development, regional planning and municipal community services",,,,97.0
2017,"Housing, urban development, regional planning and municipal community services",,,,87.9
2018,"Housing, urban development, regional planning and municipal community services",,,,83.0
2019,"Housing, urban development, regional planning and municipal community services",,,,84.4
2020,"Housing, urban development, regional planning and municipal community services",,,,69.2
2021,"Housing, urban development, regional planning and municipal community services",,,,76.4
2022,"Housing, urban development, regional planning and municipal community services",,,,74.0
2023,"Housing, urban development, regional planning and municipal community services",,,,90.8
2024,"Housing, urban development, regional planning and municipal community services",,,,101.1
