Year,Units,Time series,Sex,Region,GeoCode,Value
2010,Percentage,Gender Pay Gap,,Berlin,code11,14.0
2011,Percentage,Gender Pay Gap,,Berlin,code11,15.0
2012,Percentage,Gender Pay Gap,,Berlin,code11,15.0
2013,Percentage,Gender Pay Gap,,Berlin,code11,14.0
2014,Percentage,Gender Pay Gap,,Berlin,code11,14.0
2015,Percentage,Gender Pay Gap,,Berlin,code11,15.0
2016,Percentage,Gender Pay Gap,,Berlin,code11,14.0
2017,Percentage,Gender Pay Gap,,Berlin,code11,13.0
2010,Percentage,Gender Pay Gap,,Brandenburg,code12,7.0
2011,Percentage,Gender Pay Gap,,Brandenburg,code12,6.0
2012,Percentage,Gender Pay Gap,,Brandenburg,code12,7.0
2013,Percentage,Gender Pay Gap,,Brandenburg,code12,5.0
2014,Percentage,Gender Pay Gap,,Brandenburg,code12,7.0
2015,Percentage,Gender Pay Gap,,Brandenburg,code12,4.0
2016,Percentage,Gender Pay Gap,,Brandenburg,code12,4.0
2017,Percentage,Gender Pay Gap,,Brandenburg,code12,3.0
2010,Percentage,Gender Pay Gap,,Bremen,code04,24.0
2011,Percentage,Gender Pay Gap,,Bremen,code04,24.0
2012,Percentage,Gender Pay Gap,,Bremen,code04,27.0
2013,Percentage,Gender Pay Gap,,Bremen,code04,25.0
2014,Percentage,Gender Pay Gap,,Bremen,code04,25.0
2015,Percentage,Gender Pay Gap,,Bremen,code04,24.0
2016,Percentage,Gender Pay Gap,,Bremen,code04,23.0
2017,Percentage,Gender Pay Gap,,Bremen,code04,23.0
2010,Percentage,Gender Pay Gap,,Hamburg,code02,23.0
2011,Percentage,Gender Pay Gap,,Hamburg,code02,22.0
2012,Percentage,Gender Pay Gap,,Hamburg,code02,24.0
2013,Percentage,Gender Pay Gap,,Hamburg,code02,23.0
2014,Percentage,Gender Pay Gap,,Hamburg,code02,22.0
2015,Percentage,Gender Pay Gap,,Hamburg,code02,21.0
2016,Percentage,Gender Pay Gap,,Hamburg,code02,20.0
2017,Percentage,Gender Pay Gap,,Hamburg,code02,20.0
2010,Percentage,Gender Pay Gap,,Hesse,code06,25.0
2011,Percentage,Gender Pay Gap,,Hesse,code06,25.0
2012,Percentage,Gender Pay Gap,,Hesse,code06,24.0
2013,Percentage,Gender Pay Gap,,Hesse,code06,23.0
2014,Percentage,Gender Pay Gap,,Hesse,code06,24.0
2015,Percentage,Gender Pay Gap,,Hesse,code06,25.0
2016,Percentage,Gender Pay Gap,,Hesse,code06,23.0
2017,Percentage,Gender Pay Gap,,Hesse,code06,24.0
2010,Percentage,Gender Pay Gap,,Mecklenburg Western Pomerania,code13,4.0
2011,Percentage,Gender Pay Gap,,Mecklenburg Western Pomerania,code13,6.0
2012,Percentage,Gender Pay Gap,,Mecklenburg Western Pomerania,code13,7.0
2013,Percentage,Gender Pay Gap,,Mecklenburg Western Pomerania,code13,6.0
2014,Percentage,Gender Pay Gap,,Mecklenburg Western Pomerania,code13,8.0
2015,Percentage,Gender Pay Gap,,Mecklenburg Western Pomerania,code13,7.0
2016,Percentage,Gender Pay Gap,,Mecklenburg Western Pomerania,code13,6.0
2017,Percentage,Gender Pay Gap,,Mecklenburg Western Pomerania,code13,5.0
2010,Percentage,Gender Pay Gap,,Lower Saxony,code03,22.0
2011,Percentage,Gender Pay Gap,,Lower Saxony,code03,22.0
2012,Percentage,Gender Pay Gap,,Lower Saxony,code03,21.0
2013,Percentage,Gender Pay Gap,,Lower Saxony,code03,20.0
2014,Percentage,Gender Pay Gap,,Lower Saxony,code03,22.0
2015,Percentage,Gender Pay Gap,,Lower Saxony,code03,21.0
2016,Percentage,Gender Pay Gap,,Lower Saxony,code03,20.0
2017,Percentage,Gender Pay Gap,,Lower Saxony,code03,20.0
2010,Percentage,Gender Pay Gap,,North Rhine-Westphalia,code05,23.0
2011,Percentage,Gender Pay Gap,,North Rhine-Westphalia,code05,23.0
2012,Percentage,Gender Pay Gap,,North Rhine-Westphalia,code05,24.0
2013,Percentage,Gender Pay Gap,,North Rhine-Westphalia,code05,23.0
2014,Percentage,Gender Pay Gap,,North Rhine-Westphalia,code05,23.0
2015,Percentage,Gender Pay Gap,,North Rhine-Westphalia,code05,23.0
2016,Percentage,Gender Pay Gap,,North Rhine-Westphalia,code05,22.0
2017,Percentage,Gender Pay Gap,,North Rhine-Westphalia,code05,22.0
2010,Percentage,Gender Pay Gap,,Rhineland Palatinate,code07,22.0
2011,Percentage,Gender Pay Gap,,Rhineland Palatinate,code07,22.0
2012,Percentage,Gender Pay Gap,,Rhineland Palatinate,code07,22.0
2013,Percentage,Gender Pay Gap,,Rhineland Palatinate,code07,22.0
2014,Percentage,Gender Pay Gap,,Rhineland Palatinate,code07,21.0
2015,Percentage,Gender Pay Gap,,Rhineland Palatinate,code07,21.0
2016,Percentage,Gender Pay Gap,,Rhineland Palatinate,code07,20.0
2017,Percentage,Gender Pay Gap,,Rhineland Palatinate,code07,20.0
2010,Percentage,Gender Pay Gap,,Saarland,code10,25.0
2011,Percentage,Gender Pay Gap,,Saarland,code10,25.0
2012,Percentage,Gender Pay Gap,,Saarland,code10,25.0
2013,Percentage,Gender Pay Gap,,Saarland,code10,24.0
2014,Percentage,Gender Pay Gap,,Saarland,code10,23.0
2015,Percentage,Gender Pay Gap,,Saarland,code10,24.0
2016,Percentage,Gender Pay Gap,,Saarland,code10,24.0
2017,Percentage,Gender Pay Gap,,Saarland,code10,23.0
2010,Percentage,Gender Pay Gap,,Saxony,code14,9.0
2011,Percentage,Gender Pay Gap,,Saxony,code14,10.0
2012,Percentage,Gender Pay Gap,,Saxony,code14,11.0
2013,Percentage,Gender Pay Gap,,Saxony,code14,11.0
2014,Percentage,Gender Pay Gap,,Saxony,code14,11.0
2015,Percentage,Gender Pay Gap,,Saxony,code14,11.0
2016,Percentage,Gender Pay Gap,,Saxony,code14,11.0
2017,Percentage,Gender Pay Gap,,Saxony,code14,11.0
2010,Percentage,Gender Pay Gap,,Saxony-Anhalt,code15,4.0
2011,Percentage,Gender Pay Gap,,Saxony-Anhalt,code15,5.0
2012,Percentage,Gender Pay Gap,,Saxony-Anhalt,code15,5.0
2013,Percentage,Gender Pay Gap,,Saxony-Anhalt,code15,4.0
2014,Percentage,Gender Pay Gap,,Saxony-Anhalt,code15,5.0
2015,Percentage,Gender Pay Gap,,Saxony-Anhalt,code15,2.0
2016,Percentage,Gender Pay Gap,,Saxony-Anhalt,code15,2.0
2017,Percentage,Gender Pay Gap,,Saxony-Anhalt,code15,2.0
2010,Percentage,Gender Pay Gap,,Schleswig-Holstein,code01,18.0
2011,Percentage,Gender Pay Gap,,Schleswig-Holstein,code01,17.0
2012,Percentage,Gender Pay Gap,,Schleswig-Holstein,code01,18.0
2013,Percentage,Gender Pay Gap,,Schleswig-Holstein,code01,18.0
2014,Percentage,Gender Pay Gap,,Schleswig-Holstein,code01,17.0
2015,Percentage,Gender Pay Gap,,Schleswig-Holstein,code01,17.0
2016,Percentage,Gender Pay Gap,,Schleswig-Holstein,code01,17.0
2017,Percentage,Gender Pay Gap,,Schleswig-Holstein,code01,15.0
2010,Percentage,Gender Pay Gap,,Thuringia,code16,6.0
2011,Percentage,Gender Pay Gap,,Thuringia,code16,7.0
2012,Percentage,Gender Pay Gap,,Thuringia,code16,8.0
2013,Percentage,Gender Pay Gap,,Thuringia,code16,9.0
2014,Percentage,Gender Pay Gap,,Thuringia,code16,8.0
2015,Percentage,Gender Pay Gap,,Thuringia,code16,10.0
2016,Percentage,Gender Pay Gap,,Thuringia,code16,9.0
2017,Percentage,Gender Pay Gap,,Thuringia,code16,8.0
