Year,Units,Type of obligation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2024,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2015,Percentage,Compliance with the agreement,,,,(3) Rotterdam Convention,96.08
2020,Percentage,Compliance with the agreement,,,,(3) Rotterdam Convention,96.55
2025,Percentage,Compliance with the agreement,,,,(3) Rotterdam Convention,100.0
2010,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2011,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2012,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2013,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2014,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2015,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2016,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2017,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2018,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2019,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2020,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2021,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2022,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2023,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2024,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2025,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2026,"yes=1, no=0",Contracting Party,,,,(4) Stockholm Convention,1.0
2010,"yes=1, no=0",Fulfilment of reporting obligation,,,,(4) Stockholm Convention,1.0
2011,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(4) Stockholm Convention,
2012,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(4) Stockholm Convention,
2013,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(4) Stockholm Convention,
2014,"yes=1, no=0",Fulfilment of reporting obligation,,,,(4) Stockholm Convention,1.0
2015,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(4) Stockholm Convention,
2016,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(4) Stockholm Convention,
2017,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(4) Stockholm Convention,
2018,"yes=1, no=0",Fulfilment of reporting obligation,,,,(4) Stockholm Convention,1.0
2019,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(4) Stockholm Convention,
2020,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(4) Stockholm Convention,
2021,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(4) Stockholm Convention,
2022,"yes=1, no=0",Fulfilment of reporting obligation,,,,(4) Stockholm Convention,1.0
2015,Percentage,Compliance with the agreement,,,,(4) Stockholm Convention,100.0
2020,Percentage,Compliance with the agreement,,,,(4) Stockholm Convention,85.71
2025,Percentage,Compliance with the agreement,,,,(4) Stockholm Convention,88.89
2010,"yes=1, no=0",Contracting Party,‒,,,(5) Minamata Convention,0.0
2011,"yes=1, no=0",Contracting Party,‒,,,(5) Minamata Convention,0.0
2012,"yes=1, no=0",Contracting Party,‒,,,(5) Minamata Convention,0.0
2013,"yes=1, no=0",Contracting Party,‒,,,(5) Minamata Convention,0.0
2014,"yes=1, no=0",Contracting Party,‒,,,(5) Minamata Convention,0.0
2015,"yes=1, no=0",Contracting Party,‒,,,(5) Minamata Convention,0.0
2016,"yes=1, no=0",Contracting Party,‒,,,(5) Minamata Convention,0.0
2017,"yes=1, no=0",Contracting Party,,,,(5) Minamata Convention,1.0
2018,"yes=1, no=0",Contracting Party,,,,(5) Minamata Convention,1.0
2019,"yes=1, no=0",Contracting Party,,,,(5) Minamata Convention,1.0
2020,"yes=1, no=0",Contracting Party,,,,(5) Minamata Convention,1.0
2021,"yes=1, no=0",Contracting Party,,,,(5) Minamata Convention,1.0
2022,"yes=1, no=0",Contracting Party,,,,(5) Minamata Convention,1.0
2023,"yes=1, no=0",Contracting Party,,,,(5) Minamata Convention,1.0
2024,"yes=1, no=0",Contracting Party,,,,(5) Minamata Convention,1.0
2025,"yes=1, no=0",Contracting Party,,,,(5) Minamata Convention,1.0
2026,"yes=1, no=0",Contracting Party,,,,(5) Minamata Convention,1.0
2010,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2011,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2012,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2013,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2014,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2015,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2016,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2017,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2018,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2019,"yes=1, no=0",Fulfilment of reporting obligation,,,,(5) Minamata Convention,1.0
2020,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2021,"yes=1, no=0",Fulfilment of reporting obligation,,,,(5) Minamata Convention,1.0
2022,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2023,"yes=1, no=0",Fulfilment of reporting obligation,,,,(5) Minamata Convention,1.0
2024,"yes=1, no=0",Fulfilment of reporting obligation,x,,,(5) Minamata Convention,
2025,"yes=1, no=0",Fulfilment of reporting obligation,‒,,,(5) Minamata Convention,0.0
2015,Percentage,Compliance with the agreement,,,,(5) Minamata Convention,0.0
2020,Percentage,Compliance with the agreement,,,,(5) Minamata Convention,33.33
2025,Percentage,Compliance with the agreement,,,,(5) Minamata Convention,66.67
