Year,Units,Type of harassment,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,|,,,4.3
2014,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,3.8
2015,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,3.5
2016,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,3.3
2017,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,3.3
2018,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,3.3
2019,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,3.8
2020,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,3.6
2021,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,3.8
2022,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,4.2
2023,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,,,,5.2
2024,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,,|,,,6.3
2010,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,5.5
2011,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,5.3
2012,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,6.4
2013,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,|,,,5.7
2014,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,5.4
2015,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,4.6
2016,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,4.5
2017,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,4.2
2018,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,4.7
2019,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,4.7
2020,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,4.4
2021,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,5.1
2022,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,5.9
2023,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,,,,6.5
2024,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Female,|,,,7.6
2010,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,3.3
2011,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.9
2012,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.4
2013,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,|,,,3.0
2014,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.3
2015,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.4
2016,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.2
2017,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.4
2018,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.0
2019,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.9
2020,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.8
2021,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.5
2022,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,2.6
2023,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,,,,3.9
2024,"Per 100,000 inhabitants",Non-sexual harassment,13 years and younger,Male,|,,,5.0
2010,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,39.8
2011,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,38.3
2012,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,34.3
2013,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,|,,,35.7
2014,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,33.0
2015,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,25.5
2016,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,25.1
2017,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,26.1
2018,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,25.6
2019,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,26.8
2020,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,24.8
2021,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,26.8
2022,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,27.3
2023,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,,,,29.9
2024,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,,|,,,32.9
2010,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,71.8
2011,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,69.7
2012,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,48.2
2013,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,|,,,65.1
2014,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,60.2
2015,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,45.9
2016,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,46.0
2017,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,47.2
2018,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,48.2
2019,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,47.6
2020,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,42.5
2021,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,46.2
2022,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,47.0
2023,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,,,,52.3
2024,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Female,|,,,54.9
2010,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,9.5
2011,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,8.5
2012,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,5.1
2013,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,|,,,7.8
2014,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,7.3
2015,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,6.1
2016,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,5.8
2017,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,6.7
2018,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,4.6
2019,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,7.4
2020,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,8.1
2021,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,8.5
2022,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,8.8
2023,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,,,,8.8
2024,"Per 100,000 inhabitants",Non-sexual harassment,14 to under 18 years,Male,|,,,12.4
2010,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,87.1
2011,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,80.7
2012,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,78.4
2013,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,|,,,71.7
2014,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,68.0
2015,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,56.5
2016,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,48.0
2017,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,50.6
2018,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,55.5
2019,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,49.4
2020,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,54.7
2021,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,56.7
2022,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,55.0
2023,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,,,,58.1
2024,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,,|,,,65.8
2010,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,158.1
2011,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,146.2
2012,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,142.5
2013,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,|,,,131.9
2014,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,125.1
2015,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,105.4
2016,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,91.8
2017,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,96.9
2018,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,104.3
2019,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,93.4
2020,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,103.6
2021,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,103.8
2022,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,101.3
2023,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,,,,103.6
2024,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Female,|,,,119.4
2010,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,19.4
2011,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,18.3
2012,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,17.4
2013,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,|,,,14.5
2014,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,14.2
2015,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,10.7
2016,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,8.5
2017,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,9.0
2018,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,11.8
2019,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,9.6
2020,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,10.1
2021,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,13.1
2022,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,11.8
2023,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,,,,15.7
2024,"Per 100,000 inhabitants",Non-sexual harassment,18 to under 21 years,Male,|,,,16.3
2010,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,52.0
2011,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,48.7
2012,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,48.1
2013,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,|,,,47.8
2014,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,43.4
2015,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,37.6
2016,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,37.3
2017,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,36.8
2018,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,37.7
2019,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,37.8
2020,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,39.8
2021,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,42.2
2022,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,44.5
2023,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,,,,47.8
2024,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,,|,,,51.5
2010,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,83.9
2011,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,79.1
2012,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,78.9
2013,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,|,,,77.6
2014,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,70.4
2015,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,61.5
2016,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,61.7
2017,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,60.9
2018,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,62.6
2019,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,63.2
2020,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,66.0
2021,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,69.4
2022,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,73.8
2023,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,,,,78.6
2024,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Female,|,,,85.4
2010,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,20.9
2011,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,19.2
2012,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,18.2
2013,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,|,,,18.6
2014,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,16.9
2015,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,14.3
2016,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,13.7
2017,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,13.5
2018,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,13.6
2019,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,13.3
2020,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,14.4
2021,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,15.8
2022,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,16.1
2023,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,,,,17.8
2024,"Per 100,000 inhabitants",Non-sexual harassment,21 to under 60 years,Male,|,,,18.7
2010,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,7.8
2011,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,7.0
2012,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,6.9
2013,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,|,,,6.6
2014,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,6.4
2015,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,5.7
2016,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,5.6
2017,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,5.2
2018,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,5.4
2019,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,5.4
2020,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,5.4
2021,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,5.9
2022,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,6.4
2023,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,,,,7.1
2024,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,,|,,,7.1
2010,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,8.2
2011,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,7.3
2012,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,7.5
2013,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,|,,,7.5
2014,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,7.3
2015,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,6.7
2016,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,6.3
2017,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,6.3
2018,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,6.2
2019,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,6.5
2020,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,6.5
2021,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,6.9
2022,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,7.7
2023,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,,,,8.4
2024,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Female,|,,,8.3
2010,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,7.2
2011,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,6.5
2012,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,6.1
2013,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,|,,,5.6
2014,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,5.3
2015,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,4.5
2016,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,4.6
2017,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,3.8
2018,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,4.4
2019,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,4.1
2020,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,4.1
2021,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,4.7
2022,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,4.8
2023,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,,,,5.4
2024,"Per 100,000 inhabitants",Non-sexual harassment,60 years and older,Male,|,,,5.6
2010,"Per 100,000 inhabitants",Sexual harassment,,,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,,,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,,,,,,10.1
2013,"Per 100,000 inhabitants",Sexual harassment,,,|,,,10.1
2014,"Per 100,000 inhabitants",Sexual harassment,,,,,,10.3
2015,"Per 100,000 inhabitants",Sexual harassment,,,,,,10.2
2016,"Per 100,000 inhabitants",Sexual harassment,,,,,,10.5
2017,"Per 100,000 inhabitants",Sexual harassment,,,,,,10.1
2018,"Per 100,000 inhabitants",Sexual harassment,,,,,,10.6
2019,"Per 100,000 inhabitants",Sexual harassment,,,,,,9.7
2020,"Per 100,000 inhabitants",Sexual harassment,,,,,,11.2
2021,"Per 100,000 inhabitants",Sexual harassment,,,|,,,10.9
2022,"Per 100,000 inhabitants",Sexual harassment,,,,,,11.6
2023,"Per 100,000 inhabitants",Sexual harassment,,,,,,12.1
2024,"Per 100,000 inhabitants",Sexual harassment,,,|,,,12.9
2010,"Per 100,000 inhabitants",Sexual harassment,,Female,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,,Female,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,,Female,,,,17.8
2013,"Per 100,000 inhabitants",Sexual harassment,,Female,|,,,17.7
2014,"Per 100,000 inhabitants",Sexual harassment,,Female,,,,17.9
2015,"Per 100,000 inhabitants",Sexual harassment,,Female,,,,17.6
2016,"Per 100,000 inhabitants",Sexual harassment,,Female,,,,18.1
2017,"Per 100,000 inhabitants",Sexual harassment,,Female,,,,17.4
2018,"Per 100,000 inhabitants",Sexual harassment,,Female,,,,18.2
2019,"Per 100,000 inhabitants",Sexual harassment,,Female,,,,16.3
2020,"Per 100,000 inhabitants",Sexual harassment,,Female,,,,18.9
2021,"Per 100,000 inhabitants",Sexual harassment,,Female,|,,,18.2
2022,"Per 100,000 inhabitants",Sexual harassment,,Female,,,,19.3
2023,"Per 100,000 inhabitants",Sexual harassment,,Female,,,,19.7
2024,"Per 100,000 inhabitants",Sexual harassment,,Female,|,,,20.9
2010,"Per 100,000 inhabitants",Sexual harassment,,Male,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,,Male,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,,Male,,,,2.3
2013,"Per 100,000 inhabitants",Sexual harassment,,Male,|,,,2.3
2014,"Per 100,000 inhabitants",Sexual harassment,,Male,,,,2.5
2015,"Per 100,000 inhabitants",Sexual harassment,,Male,,,,2.4
2016,"Per 100,000 inhabitants",Sexual harassment,,Male,,,,2.7
2017,"Per 100,000 inhabitants",Sexual harassment,,Male,,,,2.6
2018,"Per 100,000 inhabitants",Sexual harassment,,Male,,,,2.9
2019,"Per 100,000 inhabitants",Sexual harassment,,Male,,,,2.9
2020,"Per 100,000 inhabitants",Sexual harassment,,Male,,,,3.3
2021,"Per 100,000 inhabitants",Sexual harassment,,Male,|,,,3.3
2022,"Per 100,000 inhabitants",Sexual harassment,,Male,,,,3.6
2023,"Per 100,000 inhabitants",Sexual harassment,,Male,,,,4.1
2024,"Per 100,000 inhabitants",Sexual harassment,,Male,|,,,4.7
2010,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,‒,,,0.0
2013,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,‒,|,,0.0
2014,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,‒,,,0.0
2015,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,‒,,,0.0
2016,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,‒,,,0.0
2017,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,‒,,,0.0
2018,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,‒,,,0.0
2019,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,‒,,,0.0
2020,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,‒,,,0.0
2021,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,|,,,0.4
2022,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,,,,1.3
2023,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,,,,1.2
