Year,Units,Time series,Type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2022,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
2023,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
2024,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
2025,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
2026,"yes=1, no=0",,,,,,(2) Contracting Party to the Nagoya Protocol,1
2007,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0
2008,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0
2009,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0
2010,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0
2011,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0
2012,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0
2013,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0
2014,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0
2015,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0
2016,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2017,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2018,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2019,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2020,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2021,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2022,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2023,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2024,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2025,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2026,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1
2007,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,0
2008,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,0
2009,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,0
2010,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2011,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2012,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2013,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2014,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2015,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2016,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2017,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2018,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2019,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2020,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2021,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2022,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2023,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2024,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2025,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2026,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1
2007,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),35
2008,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),409
2009,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),905
2010,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),1495
2011,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),2687
2012,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),3916
2013,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),5034
2014,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),6089
2015,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),7311
2016,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),8367
2017,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),8754
2018,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),9153
2019,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),9518
2020,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),9903
2021,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),10564
2022,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),11398
2023,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),13261
2024,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),15195
2025,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),16574
2026,Cumulative number,[a] Germany as receiver,,p,,,(5) Standard Material Transfer Agreements (SMTAs),16677
2007,Cumulative number,[a] Germany as receiver,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[a] Germany as receiver,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[a] Germany as receiver,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[a] Germany as receiver,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[a] Germany as receiver,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[a] Germany as receiver,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[a] Germany as receiver,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[a] Germany as receiver,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2015,Cumulative number,[a] Germany as receiver,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2016,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),5
2017,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2018,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),19
2019,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),30
2020,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),38
2021,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),38
2022,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),38
2023,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),38
2024,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),41
2025,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),44
2026,Cumulative number,[a] Germany as receiver,Commercial company,p,,,(5) Standard Material Transfer Agreements (SMTAs),44
2007,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2015,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2016,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2017,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2018,Cumulative number,[a] Germany as receiver,Gene bank,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2019,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2020,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),3
2021,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),4
2022,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),4
2023,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),5
2024,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),7
2025,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),10
2026,Cumulative number,[a] Germany as receiver,Gene bank,p,,,(5) Standard Material Transfer Agreements (SMTAs),10
2007,Cumulative number,[a] Germany as receiver,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[a] Germany as receiver,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[a] Germany as receiver,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[a] Germany as receiver,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[a] Germany as receiver,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[a] Germany as receiver,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[a] Germany as receiver,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2015,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2016,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2017,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2018,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2019,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2020,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),2
2021,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),2
2022,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),2
2023,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),4
2024,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),4
2025,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),5
2026,Cumulative number,[a] Germany as receiver,National agricultural research centre,p,,,(5) Standard Material Transfer Agreements (SMTAs),5
2007,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2015,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2016,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2017,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2018,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2019,Cumulative number,[a] Germany as receiver,Non-governmental organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2020,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2021,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2022,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2023,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2024,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2025,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2026,Cumulative number,[a] Germany as receiver,Non-governmental organization,p,,,(5) Standard Material Transfer Agreements (SMTAs),6
2007,Cumulative number,[a] Germany as receiver,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[a] Germany as receiver,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[a] Germany as receiver,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[a] Germany as receiver,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[a] Germany as receiver,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[a] Germany as receiver,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[a] Germany as receiver,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[a] Germany as receiver,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2015,Cumulative number,[a] Germany as receiver,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2016,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),2
2017,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),3
2018,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),3
2019,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),3
2020,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),4
2021,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),4
2022,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),4
2023,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),4
2024,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),5
2025,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),5
2026,Cumulative number,[a] Germany as receiver,Other,p,,,(5) Standard Material Transfer Agreements (SMTAs),5
2007,Cumulative number,[a] Germany as receiver,University,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[a] Germany as receiver,University,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[a] Germany as receiver,University,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[a] Germany as receiver,University,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[a] Germany as receiver,University,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[a] Germany as receiver,University,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[a] Germany as receiver,University,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2015,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),3
2016,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),5
2017,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),8
2018,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),8
2019,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),8
2020,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),8
2021,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),9
2022,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),9
2023,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),11
2024,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),13
2025,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),13
2026,Cumulative number,[a] Germany as receiver,University,p,,,(5) Standard Material Transfer Agreements (SMTAs),13
2007,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),2
2008,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),23
2009,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),54
2010,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),84
2011,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),382
2012,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),1299
2013,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),2107
2014,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),2843
2015,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),3604
2016,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4214
2017,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4328
2018,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4441
2019,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4575
2020,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4678
2021,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4800
2022,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4877
2023,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4918
2024,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4932
2025,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4935
2026,Cumulative number,[a] Germany as receiver,Individual,p,,,(5) Standard Material Transfer Agreements (SMTAs),4935
2007,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2015,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2016,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2017,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2018,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2019,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2020,Cumulative number,[a] Germany as receiver,INCREASE project,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2021,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),226
2022,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),706
2023,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),2396
2024,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),4291
2025,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),5655
2026,Cumulative number,[a] Germany as receiver,INCREASE project,p,,,(5) Standard Material Transfer Agreements (SMTAs),5758
2007,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),33
2008,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),386
