Year,Time series,Degree of urbanisation,Sex,Series,Value
2010,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,1.6
2011,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,0.9
2012,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,0.9
2013,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,0.1
2014,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,0.0
2015,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,0.1
2016,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,0.1
2017,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,0.1
2018,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,0.0
2019,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,0.2
2020,Population not having indoor flushing toilet for the sole use of their household,,,Housing deprivation,
2010,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,1.7
2011,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,0.9
2012,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,1.0
2013,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,0.2
2014,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,0.0
2015,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,0.1
2016,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,0.1
2017,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,0.1
2018,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,0.1
2019,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,0.2
2020,Population not having indoor flushing toilet for the sole use of their household,,Female,Housing deprivation,
2010,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,1.6
2011,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,0.8
2012,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,0.9
2013,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,0.1
2014,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,0.0
2015,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,0.1
2016,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,0.1
2017,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,0.1
2018,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,0.0
2019,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,0.3
2020,Population not having indoor flushing toilet for the sole use of their household,,Male,Housing deprivation,
2010,Population considering their dwelling as too dark,,,Housing deprivation,4.2
2011,Population considering their dwelling as too dark,,,Housing deprivation,4.1
2012,Population considering their dwelling as too dark,,,Housing deprivation,3.9
2013,Population considering their dwelling as too dark,,,Housing deprivation,4.4
2014,Population considering their dwelling as too dark,,,Housing deprivation,4.4
2015,Population considering their dwelling as too dark,,,Housing deprivation,4.0
2016,Population considering their dwelling as too dark,,,Housing deprivation,3.9
2017,Population considering their dwelling as too dark,,,Housing deprivation,4.0
2018,Population considering their dwelling as too dark,,,Housing deprivation,4.4
2019,Population considering their dwelling as too dark,,,Housing deprivation,4.0
2020,Population considering their dwelling as too dark,,,Housing deprivation,
2010,Population considering their dwelling as too dark,,Female,Housing deprivation,3.9
2011,Population considering their dwelling as too dark,,Female,Housing deprivation,3.9
2012,Population considering their dwelling as too dark,,Female,Housing deprivation,3.9
2013,Population considering their dwelling as too dark,,Female,Housing deprivation,4.5
2014,Population considering their dwelling as too dark,,Female,Housing deprivation,4.3
2015,Population considering their dwelling as too dark,,Female,Housing deprivation,3.9
2016,Population considering their dwelling as too dark,,Female,Housing deprivation,3.8
2017,Population considering their dwelling as too dark,,Female,Housing deprivation,3.9
2018,Population considering their dwelling as too dark,,Female,Housing deprivation,4.4
2019,Population considering their dwelling as too dark,,Female,Housing deprivation,4.2
2020,Population considering their dwelling as too dark,,Female,Housing deprivation,
2010,Population considering their dwelling as too dark,,Male,Housing deprivation,4.5
2011,Population considering their dwelling as too dark,,Male,Housing deprivation,4.2
2012,Population considering their dwelling as too dark,,Male,Housing deprivation,3.9
2013,Population considering their dwelling as too dark,,Male,Housing deprivation,4.3
2014,Population considering their dwelling as too dark,,Male,Housing deprivation,4.5
2015,Population considering their dwelling as too dark,,Male,Housing deprivation,4.1
2016,Population considering their dwelling as too dark,,Male,Housing deprivation,3.9
2017,Population considering their dwelling as too dark,,Male,Housing deprivation,4.0
2018,Population considering their dwelling as too dark,,Male,Housing deprivation,4.4
2019,Population considering their dwelling as too dark,,Male,Housing deprivation,3.8
2020,Population considering their dwelling as too dark,,Male,Housing deprivation,
