Year,Substance,Bound,Sex,Series,Value
2016,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,44589
2017,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,43574
2018,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,42716
2019,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,42158
2020,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,36512
2021,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,37002
2022,Alcohol and other psychoactive substances,,Female,Inpatient treatment of substance use disorders,37277
2010,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,142373
2011,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,141363
2012,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,143488
2013,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,143201
2014,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,135845
2015,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,129808
2016,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,125878
2017,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,122260
2018,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,118531
2019,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,117263
2020,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,102532
2021,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,101031
2022,Alcohol and other psychoactive substances,,Male,Inpatient treatment of substance use disorders,102265
2010,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2011,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2012,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,1
2013,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2014,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2015,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2016,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2017,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2018,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2019,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2020,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2021,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2022,Alcohol and other psychoactive substances,,Unknown,Inpatient treatment of substance use disorders,0
2010,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",215078
2011,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",231052
2012,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",218360
2013,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",215436
2014,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",230672
2015,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",225471
2016,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",225324
2017,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",217220
2018,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",204906
2019,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",182451
2020,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",181668
2021,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",176381
2022,,Lower bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",166631
2010,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",255405
2011,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",274374
2012,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",259303
2013,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",255830
2014,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",273923
2015,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",267747
2016,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",267572
2017,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",257949
2018,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",243326
2019,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",216660
2020,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",215731
2021,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",209453
2022,,Upper bound,,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",197874
