Year,Type of disease,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,(b) Malignant neoplasms,Female,,,,5.41
2024,(b) Malignant neoplasms,Female,,,,5.29
2010,(c) Diabetes mellitus,Female,,,,0.2
2011,(c) Diabetes mellitus,Female,,,,0.21
2012,(c) Diabetes mellitus,Female,,,,0.21
2013,(c) Diabetes mellitus,Female,,,,0.2
2014,(c) Diabetes mellitus,Female,,,,0.2
2015,(c) Diabetes mellitus,Female,,,,0.2
2016,(c) Diabetes mellitus,Female,,,,0.19
2017,(c) Diabetes mellitus,Female,,,,0.21
2018,(c) Diabetes mellitus,Female,,,,0.21
2019,(c) Diabetes mellitus,Female,,,,0.19
2020,(c) Diabetes mellitus,Female,,,,0.2
2021,(c) Diabetes mellitus,Female,,,,0.2
2022,(c) Diabetes mellitus,Female,,,,0.19
2023,(c) Diabetes mellitus,Female,,,,0.2
2024,(c) Diabetes mellitus,Female,,,,0.19
2010,(d) Chronic respiratory disease,Female,,,,0.56
2011,(d) Chronic respiratory disease,Female,,,,0.57
2012,(d) Chronic respiratory disease,Female,,,,0.54
2013,(d) Chronic respiratory disease,Female,,,,0.63
2014,(d) Chronic respiratory disease,Female,,,,0.59
2015,(d) Chronic respiratory disease,Female,,,,0.66
2016,(d) Chronic respiratory disease,Female,,,,0.67
2017,(d) Chronic respiratory disease,Female,,,,0.71
2018,(d) Chronic respiratory disease,Female,,,,0.73
2019,(d) Chronic respiratory disease,Female,,,,0.71
2020,(d) Chronic respiratory disease,Female,,,,0.67
2021,(d) Chronic respiratory disease,Female,,,,0.63
2022,(d) Chronic respiratory disease,Female,,,,0.74
2023,(d) Chronic respiratory disease,Female,,,,0.78
2024,(d) Chronic respiratory disease,Female,,,,0.76
2010,,Male,,,,16.33
2011,,Male,,,,15.69
2012,,Male,,,,15.44
2013,,Male,,,,15.4
2014,,Male,,,,14.75
2015,,Male,,,,15.04
2016,,Male,,,,14.7
2017,,Male,,,,14.29
2018,,Male,,,,14.24
2019,,Male,,,,13.73
2020,,Male,,,,13.72
2021,,Male,,,,13.58
2022,,Male,,,,13.51
2023,,Male,,,,13.26
2024,,Male,,,,13.03
2010,(a) Diseases of the circulatory system,Male,,,,6.64
2011,(a) Diseases of the circulatory system,Male,,,,6.12
2012,(a) Diseases of the circulatory system,Male,,,,6.08
2013,(a) Diseases of the circulatory system,Male,,,,6.01
2014,(a) Diseases of the circulatory system,Male,,,,5.73
2015,(a) Diseases of the circulatory system,Male,,,,5.95
2016,(a) Diseases of the circulatory system,Male,,,,5.71
2017,(a) Diseases of the circulatory system,Male,,,,5.55
2018,(a) Diseases of the circulatory system,Male,,,,5.53
2019,(a) Diseases of the circulatory system,Male,,,,5.25
2020,(a) Diseases of the circulatory system,Male,,,,5.35
2021,(a) Diseases of the circulatory system,Male,,,,5.43
2022,(a) Diseases of the circulatory system,Male,,,,5.38
2023,(a) Diseases of the circulatory system,Male,,,,5.29
2024,(a) Diseases of the circulatory system,Male,,,,5.1
2010,(b) Malignant neoplasms,Male,,,,9.01
2011,(b) Malignant neoplasms,Male,,,,8.82
2012,(b) Malignant neoplasms,Male,,,,8.62
2013,(b) Malignant neoplasms,Male,,,,8.55
2014,(b) Malignant neoplasms,Male,,,,8.21
2015,(b) Malignant neoplasms,Male,,,,8.19
2016,(b) Malignant neoplasms,Male,,,,8.11
2017,(b) Malignant neoplasms,Male,,,,7.77
2018,(b) Malignant neoplasms,Male,,,,7.74
2019,(b) Malignant neoplasms,Male,,,,7.5
2020,(b) Malignant neoplasms,Male,,,,7.41
2021,(b) Malignant neoplasms,Male,,,,7.2
2022,(b) Malignant neoplasms,Male,,,,7.08
2023,(b) Malignant neoplasms,Male,,,,6.88
2024,(b) Malignant neoplasms,Male,,,,6.77
2010,(c) Diabetes mellitus,Male,,,,0.51
2011,(c) Diabetes mellitus,Male,,,,0.49
2012,(c) Diabetes mellitus,Male,,,,0.5
2013,(c) Diabetes mellitus,Male,,,,0.51
2014,(c) Diabetes mellitus,Male,,,,0.47
2015,(c) Diabetes mellitus,Male,,,,0.51
2016,(c) Diabetes mellitus,Male,,,,0.48
2017,(c) Diabetes mellitus,Male,,,,0.52
2018,(c) Diabetes mellitus,Male,,,,0.5
2019,(c) Diabetes mellitus,Male,,,,0.48
2020,(c) Diabetes mellitus,Male,,,,0.5
2021,(c) Diabetes mellitus,Male,,,,0.5
2022,(c) Diabetes mellitus,Male,,,,0.51
2023,(c) Diabetes mellitus,Male,,,,0.5
2024,(c) Diabetes mellitus,Male,,,,0.52
2010,(d) Chronic respiratory disease,Male,,,,1.0
2011,(d) Chronic respiratory disease,Male,,,,1.02
2012,(d) Chronic respiratory disease,Male,,,,0.98
2013,(d) Chronic respiratory disease,Male,,,,1.06
2014,(d) Chronic respiratory disease,Male,,,,1.01
2015,(d) Chronic respiratory disease,Male,,,,1.11
2016,(d) Chronic respiratory disease,Male,,,,1.07
2017,(d) Chronic respiratory disease,Male,,,,1.09
2018,(d) Chronic respiratory disease,Male,,,,1.11
2019,(d) Chronic respiratory disease,Male,,,,1.09
2020,(d) Chronic respiratory disease,Male,,,,1.04
2021,(d) Chronic respiratory disease,Male,,,,1.03
2022,(d) Chronic respiratory disease,Male,,,,1.12
2023,(d) Chronic respiratory disease,Male,,,,1.15
2024,(d) Chronic respiratory disease,Male,,,,1.18
